"site_name","Year","month","water_class","WUE_T","SPEI_3","baseline_WUE_T","monthly_resistance","WUE_T_pct_change","EDI","EDI_class","response_EDI_pct_change","response_EDI_magnitude","response_EDI_direction","response_EDI_class"
"US-SO2",2000,5,"Upland",4.78713999043812,0.321004252244319,4.7601276659533,1.00567470588615,0.56747058861513,0.625948917446405,"Stress",-5.82863245397352,5.82863245397352,"WUE_T decrease","Strong (>=5%)"
"US-SO2",2000,6,"Upland",6.75008658533668,0.38214126217774,7.52292562213055,0.89726881859361,-10.273118140639,0.633223816226098,"Stress",-4.53484546085816,4.53484546085816,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2000,7,"Upland",9.86814475399902,0.0299387512009782,8.24253528253725,1.19722202159156,19.7222021591561,0.590578522292678,"Stress",-6.37618577384989,6.37618577384989,"WUE_T decrease","Strong (>=5%)"
"US-SO2",2001,4,"Upland",4.27313406067144,0.476230513028577,3.56779304649185,1.19769672875873,19.7696728758734,0.644301210983008,"Stress",0.904249789920918,0.904249789920918,"WUE_T increase","Very mild (0.5-1%)"
"US-SO2",2001,5,"Upland",6.09802433679344,0.0481423644119644,4.7601276659533,1.28106319089074,28.1063190890743,0.592822551854561,"Stress",-4.46962355530448,4.46962355530448,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2001,6,"Upland",7.02490841699489,-0.265619784692692,7.52292562213055,0.933800062615185,-6.61999373848149,0.553678816948294,"Stress",0.698841290730851,0.698841290730851,"WUE_T increase","Very mild (0.5-1%)"
"US-SO2",2001,7,"Upland",16.7311447276557,-0.631522195478649,8.24253528253725,2.02985418371245,102.985418371245,0.507209691860842,"Stress",4.70375870727645,4.70375870727645,"WUE_T increase","Moderate (2.5-5%)"
"US-SO2",2003,4,"Upland",2.60565377399397,0.805062173660061,3.56779304649185,0.730326490365261,-26.9673509634739,0.681759924275206,"Stress",2.50587056301114,2.50587056301114,"WUE_T increase","Moderate (2.5-5%)"
"US-SO2",2003,5,"Upland",3.73989687005353,0.827162762385166,4.7601276659533,0.785671547593786,-21.4328452406214,0.684201596604619,"Stress",-4.05636741497784,4.05636741497784,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2003,6,"Upland",6.62635636058054,1.08976213313092,7.52292562213055,0.880821729924787,-11.9178270075213,0.71241504796384,"Impact",-0.051508554508743,0.051508554508743,"Stable","Stable (<0.5%)"
"US-SO2",2004,4,"Upland",5.29825543044279,-0.288221406697995,3.56779304649185,1.48502319540436,48.5023195404363,0.550827140827862,"Stress",6.44591045460581,6.44591045460581,"WUE_T increase","Strong (>=5%)"
"US-SO2",2004,8,"Upland",7.21482247329508,-0.562370394616189,NA,NA,NA,0.516026040251075,"Stress",NA,NA,NA,NA
"US-SO2",2005,4,"Upland",2.17755146836611,0.876953800814863,3.56779304649185,0.610335700527043,-38.9664299472957,0.68966527715016,"Stress",3.10946298303696,3.10946298303696,"WUE_T increase","Moderate (2.5-5%)"
"US-SO2",2005,5,"Upland",3.84962399888179,0.296735410787106,4.7601276659533,0.808722847165662,-19.1277152834338,0.623045013516829,"Stress",-5.77894092886473,5.77894092886473,"WUE_T decrease","Strong (>=5%)"
"US-SO2",2005,6,"Upland",9.73248689040574,0.549681196410101,7.52292562213055,1.2937103700421,29.3710370042103,0.65284332242056,"Stress",-4.29814997663245,4.29814997663245,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2005,7,"Upland",4.58562803766907,0.800655522583218,8.24253528253725,0.556337083249645,-44.3662916750355,0.681271875294198,"Stress",-6.328790334234,6.328790334234,"WUE_T decrease","Strong (>=5%)"
