year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2007,Pacific Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,Gulf Coast,Upland,31.156,37.7174,79.24,20.76,0.88,0.73,1.17,2.05,95.18
2007,Gulf Coast,Freshwater,-2.6833,2.6833,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,Atlantic Coast,Upland,0.9341,1.7462,73.09,26.91,14.17,13.9,41.37,30.56,0.0
2007,Atlantic Coast,Freshwater,-2.6835,2.6835,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,Atlantic Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,AK Coast,Upland,1.4953,3.6274,58.92,41.08,5.88,6.28,22.73,44.26,20.86
2008,AK Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Pacific Coast,Upland,0.8267,1.1618,69.7,30.3,28.27,26.21,33.54,11.98,0.0
2008,Pacific Coast,Freshwater,-2.6837,2.6837,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Pacific Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Gulf Coast,Upland,20.294,33.3562,66.23,33.77,0.58,0.15,1.31,2.19,95.76
2008,Gulf Coast,Freshwater,-2.6834,2.6834,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Gulf Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Atlantic Coast,Upland,0.1773,1.3526,56.99,43.01,22.7,20.54,42.51,14.25,0.0
2008,Atlantic Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2008,Atlantic Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,AK Coast,Upland,0.3865,3.6743,38.25,61.75,6.37,6.23,21.77,48.28,17.35
2009,AK Coast,Freshwater,-2.684,2.684,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,AK Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Pacific Coast,Upland,0.4501,0.9461,61.72,38.28,32.24,27.27,37.01,3.47,0.0
2009,Pacific Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Pacific Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Gulf Coast,Upland,6.4473,24.3338,47.22,52.78,1.17,0.58,2.34,4.38,91.52
2009,Gulf Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Gulf Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Atlantic Coast,Upland,0.0737,1.8508,52.44,47.56,12.45,12.3,42.4,32.85,0.0
