year,month,coast_region,n_pixels,mean_SPEI3,mean_EDI,pct_None,pct_Watch,pct_Stress,pct_Impact
2003,12,Gulf Coast,57,-0.0789,0.5344,0.0,0.0,100.0,0.0
2003,12,Atlantic Coast,835,0.1574,0.5402,0.0,0.24,99.76,0.0
2004,1,AK Coast,1904,-0.0584,0.5349,0.0,0.42,99.58,0.0
2004,1,Pacific Coast,283,0.0398,0.5373,0.0,0.0,100.0,0.0
2004,1,Gulf Coast,57,-0.364,0.5274,0.0,0.0,100.0,0.0
2004,1,Atlantic Coast,835,-0.4258,0.5259,0.0,9.22,90.78,0.0
2004,2,AK Coast,1904,-0.3193,0.5285,0.0,10.77,89.23,0.0
2004,2,Pacific Coast,283,0.1458,0.5399,0.0,0.0,100.0,0.0
2004,2,Gulf Coast,57,-0.2063,0.5313,0.0,0.0,100.0,0.0
2004,2,Atlantic Coast,835,-0.1294,0.5332,0.0,3.95,96.05,0.0
2004,3,AK Coast,1904,-0.1795,0.5319,0.0,6.99,93.01,0.0
2004,3,Pacific Coast,283,-0.365,0.5274,0.0,0.0,100.0,0.0
2004,3,Gulf Coast,57,-0.5842,0.522,0.0,0.0,100.0,0.0
2004,3,Atlantic Coast,835,-0.7555,0.5178,0.0,17.01,82.99,0.0
2004,4,AK Coast,1904,0.4492,0.5472,0.0,3.73,96.27,0.0
2004,4,Pacific Coast,283,-1.1775,0.5074,0.0,38.16,61.84,0.0
2004,4,Gulf Coast,57,-0.3458,0.5279,0.0,0.0,100.0,0.0
2004,4,Atlantic Coast,835,-0.3213,0.5285,0.0,2.75,97.25,0.0
2004,5,AK Coast,1904,0.5555,0.5499,0.0,0.21,99.79,0.0
2004,5,Pacific Coast,283,-1.38,0.5025,0.0,36.75,63.25,0.0
2004,5,Gulf Coast,57,-1.1956,0.507,0.0,15.79,84.21,0.0
2004,5,Atlantic Coast,835,-0.5649,0.5225,0.0,12.46,87.54,0.0
2004,6,AK Coast,1904,0.2269,0.5418,0.0,5.46,94.54,0.0
2004,6,Pacific Coast,283,-1.2621,0.5054,0.0,16.96,83.04,0.0
2004,6,Gulf Coast,57,-0.9067,0.5141,0.0,7.02,92.98,0.0
2004,6,Atlantic Coast,835,0.1068,0.5389,0.0,3.95,96.05,0.0
2004,7,AK Coast,1904,-0.2039,0.5313,0.0,16.75,83.25,0.0
2004,7,Pacific Coast,283,-0.6681,0.52,0.0,0.0,100.0,0.0
2004,7,Gulf Coast,57,-1.362,0.5029,0.0,29.82,70.18,0.0
2004,7,Atlantic Coast,835,0.1472,0.5399,0.0,4.91,95.09,0.0
2004,8,AK Coast,1904,-0.7909,0.517,0.0,23.9,76.1,0.0
2004,8,Pacific Coast,283,0.2494,0.5424,0.0,0.0,100.0,0.0
2004,8,Gulf Coast,57,-0.381,0.527,0.0,0.0,100.0,0.0
2004,8,Atlantic Coast,835,0.5318,0.5493,0.0,0.0,100.0,0.0
2004,9,AK Coast,1904,-0.7434,0.5181,0.0,16.65,83.35,0.0
2004,9,Pacific Coast,283,0.7948,0.5557,0.0,0.0,100.0,0.0
2004,9,Gulf Coast,57,-0.8093,0.5165,0.0,0.0,100.0,0.0
2004,9,Atlantic Coast,835,0.7082,0.5535,0.0,0.84,99.16,0.0
2004,10,AK Coast,1904,-0.414,0.5262,0.0,10.19,89.81,0.0
2004,10,Pacific Coast,283,1.3842,0.57,0.0,0.0,100.0,0.0
2004,10,Gulf Coast,57,2.525,0.5973,0.0,0.0,100.0,0.0
2004,10,Atlantic Coast,835,0.5921,0.5507,0.0,0.0,100.0,0.0
2004,11,AK Coast,1904,0.5029,0.5486,0.0,0.0,100.0,0.0
2004,11,Pacific Coast,283,0.11,0.539,0.0,0.0,100.0,0.0
2004,11,Gulf Coast,57,2.1632,0.5887,0.0,0.0,100.0,0.0
2004,11,Atlantic Coast,835,0.41,0.5463,0.0,1.68,98.32,0.0
2004,12,AK Coast,1904,0.6944,0.5533,0.0,1.21,98.79,0.0
2004,12,Pacific Coast,283,-0.1582,0.5325,0.0,1.77,98.23,0.0
2004,12,Gulf Coast,57,2.1597,0.5886,0.0,0.0,100.0,0.0
2004,12,Atlantic Coast,835,-0.1429,0.5328,0.0,3.59,96.41,0.0
2005,1,AK Coast,1904,0.6417,0.552,0.0,0.26,99.74,0.0
2005,1,Pacific Coast,283,-0.5131,0.5237,0.0,6.71,93.29,0.0
2005,1,Gulf Coast,57,1.6817,0.5772,0.0,0.0,100.0,0.0
2005,1,Atlantic Coast,835,-0.0114,0.5361,0.0,0.6,99.4,0.0
2005,2,AK Coast,1904,0.4504,0.5473,0.0,0.0,100.0,0.0
2005,2,Pacific Coast,283,-0.6507,0.5203,0.0,24.38,75.62,0.0
2005,2,Gulf Coast,57,1.666,0.5768,0.0,0.0,100.0,0.0
2005,2,Atlantic Coast,835,-0.2414,0.5305,0.0,2.75,97.25,0.0
2005,3,AK Coast,1904,0.2764,0.5431,0.0,0.11,99.89,0.0
2005,3,Pacific Coast,283,-0.7209,0.5186,0.0,12.37,87.63,0.0
2005,3,Gulf Coast,57,1.3398,0.5689,0.0,0.0,100.0,0.0
2005,3,Atlantic Coast,835,0.2806,0.5432,0.0,0.24,99.76,0.0
2005,4,AK Coast,1904,0.1148,0.5391,0.0,1.21,98.79,0.0
2005,4,Pacific Coast,283,-0.3965,0.5266,0.0,0.35,99.65,0.0
2005,4,Gulf Coast,57,0.8661,0.5575,0.0,0.0,100.0,0.0
2005,4,Atlantic Coast,835,0.5986,0.5509,0.0,0.24,99.76,0.0
2005,5,AK Coast,1904,0.0682,0.538,0.0,0.21,99.79,0.0
2005,5,Pacific Coast,283,0.683,0.553,0.0,0.0,100.0,0.0
2005,5,Gulf Coast,57,0.2859,0.5434,0.0,0.0,100.0,0.0
2005,5,Atlantic Coast,835,0.745,0.5545,0.0,0.36,99.64,0.0
2005,6,AK Coast,1904,-0.5002,0.5241,0.0,8.77,91.23,0.0
2005,6,Pacific Coast,283,1.1304,0.5639,0.0,0.35,99.65,0.0
2005,6,Gulf Coast,57,0.4592,0.5476,0.0,0.0,100.0,0.0
2005,6,Atlantic Coast,835,0.5156,0.5489,0.0,3.23,96.77,0.0
2005,7,AK Coast,1904,-0.3716,0.5272,0.0,8.93,91.07,0.0
2005,7,Pacific Coast,283,1.3826,0.5699,0.0,0.0,100.0,0.0
2005,7,Gulf Coast,57,0.2362,0.5421,0.0,0.0,100.0,0.0
