year,coast_region,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2017,Pacific Coast,0.1438,0.0842,1.168,-31.5223,31.6906,63.2128,57.15,42.85,0.0,0.0,0.0,100.0,15.87,2.5624,2.5624,0.0,100.0,0.0,0.0
2017,Gulf Coast,-0.2981,10.8837,25.3499,-23.3962,45.1637,68.5599,44.01,55.99,38.6,49.85,27.34,100.0,27.34,38.8506,45.8594,14.87,85.13,14.87,85.13
2017,Atlantic Coast,0.1102,-0.2713,1.7409,-29.574,29.0315,58.6055,52.21,47.8,0.0,0.0,0.0,100.0,14.64,2.5796,2.5796,0.0,100.0,0.0,0.0
2018,AK Coast,0.2153,2.348,4.4738,-26.6053,31.3013,57.9066,40.22,59.78,0.0,30.71,0.0,100.0,15.24,-3.31,3.31,100.0,0.0,0.0,0.0
2018,Pacific Coast,-0.5739,0.948,1.2234,-30.632,32.5281,63.16,22.94,77.06,0.0,0.0,0.0,100.0,26.94,2.4328,2.4328,0.0,100.0,0.0,0.0
2018,Gulf Coast,-0.6265,15.4918,26.9289,-17.6861,48.6696,66.3557,37.28,62.72,32.02,58.77,30.12,100.0,34.36,46.6029,47.2861,1.97,98.03,1.97,98.03
2018,Atlantic Coast,0.513,-1.0622,1.8894,-30.3785,28.254,58.6325,66.65,33.35,0.0,0.0,0.0,100.0,6.05,2.4685,2.4685,0.0,100.0,0.0,0.0
2019,AK Coast,0.2332,2.8208,4.9464,-26.2449,31.8865,58.1315,42.0,58.0,0.0,34.26,0.0,100.0,16.44,-3.0954,3.0954,100.0,0.0,0.0,0.0
2019,Pacific Coast,-0.1889,0.4987,1.3676,-31.1067,32.1041,63.2108,46.17,53.83,0.0,0.0,0.0,100.0,25.41,2.5128,2.5128,0.0,100.0,0.0,0.0
2019,Gulf Coast,0.3094,-0.0525,18.9766,-33.7306,33.6256,67.3561,66.23,33.77,58.63,29.53,13.16,100.0,16.52,37.8533,41.4963,13.16,86.84,12.28,82.55
2019,Atlantic Coast,0.3165,-0.6999,1.5404,-29.9741,28.5743,58.5484,65.1,34.9,0.0,0.0,0.0,100.0,6.01,2.4998,2.4998,0.0,100.0,0.0,0.0
2020,AK Coast,-0.0095,0.8474,3.8233,-28.0714,29.7662,57.8376,54.59,45.41,0.0,19.64,0.0,100.0,15.08,-3.368,3.368,100.0,0.0,0.0,0.0
2020,Pacific Coast,-0.4476,0.7436,1.3054,-30.8611,32.3482,63.2093,39.6,60.4,0.0,0.0,0.0,100.0,25.74,2.7961,2.7961,0.0,100.0,0.0,0.0
2020,Gulf Coast,-0.9422,1.7208,23.4418,-35.6674,39.109,74.7764,54.39,45.61,50.58,41.38,13.3,100.0,48.39,11.5652,32.709,46.0,54.0,44.18,52.67
