year,month,coast_region,n_pixels,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_n_pixels,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2001,2,Pacific Coast,283,-1.3736,2.3222,2.3931,-29.3839,34.0282,63.4121,7.77,92.23,0.0,0.0,0.0,100.0,195,68.9,3.1413,3.1413,0.0,100.0,0.0,0.0
2001,2,Gulf Coast,57,0.4458,-22.5967,22.5967,-54.6534,9.46,64.1134,100.0,0.0,100.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,2,Atlantic Coast,835,-1.1259,2.0733,2.1997,-27.2795,31.4262,58.7058,5.87,94.13,0.0,0.0,0.0,100.0,529,63.35,2.6879,2.6879,0.0,100.0,0.0,0.0
2001,3,AK Coast,1904,0.7662,5.1297,6.4182,-23.8214,34.0809,57.9023,28.78,71.22,0.0,49.68,0.0,100.0,106,5.57,-3.5512,3.5512,100.0,0.0,0.0,0.0
2001,3,Pacific Coast,283,-1.1524,1.9856,2.2249,-29.6983,33.6695,63.3678,24.03,75.97,0.0,0.0,0.0,100.0,188,66.43,3.0617,3.0617,0.0,100.0,0.0,0.0
2001,3,Gulf Coast,57,0.8566,-14.4318,14.4318,-46.8736,18.01,64.8836,100.0,0.0,80.7,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,3,Atlantic Coast,835,0.1536,-0.3388,0.8369,-29.5545,28.8768,58.4313,61.08,38.92,0.0,0.0,0.0,100.0,6,0.72,2.4579,2.4579,0.0,100.0,0.0,0.0
2001,4,AK Coast,1904,0.4563,3.5935,4.6932,-25.3045,32.4914,57.7959,24.05,75.95,0.0,41.18,0.0,100.0,225,11.82,-3.2204,3.2204,100.0,0.0,0.0,0.0
2001,4,Pacific Coast,283,-0.9022,1.5899,1.8254,-30.0367,33.2166,63.2533,16.61,83.39,0.0,0.0,0.0,100.0,147,51.94,2.6594,2.6594,0.0,100.0,0.0,0.0
2001,4,Gulf Coast,57,1.0706,-6.9288,10.1258,-39.8485,25.9908,65.8393,70.18,29.82,50.88,14.04,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,4,Atlantic Coast,835,-0.1832,0.3737,0.7977,-28.8399,29.5873,58.4272,37.13,62.87,0.0,0.0,0.0,100.0,13,1.56,2.337,2.337,0.0,100.0,0.0,0.0
2001,5,AK Coast,1904,0.2336,1.5944,3.6429,-27.169,30.3579,57.5269,42.54,57.46,0.0,23.63,0.0,100.0,58,3.05,-3.4581,3.4581,100.0,0.0,0.0,0.0
2001,5,Pacific Coast,283,-0.7041,1.1879,1.3113,-30.3925,32.7683,63.1608,15.55,84.45,0.0,0.0,0.0,100.0,94,33.22,2.4124,2.4124,0.0,100.0,0.0,0.0
2001,5,Gulf Coast,57,0.5255,-20.8025,20.8025,-52.9674,11.3624,64.3298,100.0,0.0,98.25,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,5,Atlantic Coast,835,-0.2152,0.4528,0.9255,-28.7682,29.6738,58.442,35.69,64.31,0.0,0.0,0.0,100.0,55,6.59,2.3847,2.3847,0.0,100.0,0.0,0.0
2001,6,AK Coast,1904,-0.0895,0.7448,3.0552,-28.2583,29.748,58.0063,46.43,53.57,0.0,12.08,0.0,100.0,445,23.37,-3.1948,3.1948,100.0,0.0,0.0,0.0
2001,6,Pacific Coast,283,-0.314,0.4528,0.8979,-31.098,32.0037,63.1017,39.22,60.78,0.0,0.0,0.0,100.0,38,13.43,2.1867,2.1867,0.0,100.0,0.0,0.0
2001,6,Gulf Coast,57,0.1958,-19.4322,19.4971,-51.5344,12.6701,64.2046,98.25,1.75,89.47,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,6,Atlantic Coast,835,-0.5073,1.0611,1.3207,-28.1876,30.3099,58.4974,17.49,82.51,0.0,0.0,0.0,100.0,149,17.84,2.5734,2.5734,0.0,100.0,0.0,0.0
2001,7,AK Coast,1904,-0.0903,0.9636,3.7588,-28.0643,29.9916,58.0559,51.37,48.63,0.0,19.33,0.0,100.0,438,23.0,-3.2,3.2,100.0,0.0,0.0,0.0
2001,7,Pacific Coast,283,-0.2586,0.4249,1.0819,-31.1491,31.9989,63.148,50.18,49.82,0.0,0.0,0.0,100.0,57,20.14,2.7231,2.7231,0.0,100.0,0.0,0.0
