"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-Sne","Freshwater","SPEI_3",33,-0.29685959731753,0.0792431372853395,-0.281501575990863
"US-StJ","Saline","SPEI_3",30,0.286646455003423,0.0209207801380141,0.144640174702653
"US-TaS","Saline","SPEI_3",28,0.337751816274887,0.278910100441056,0.52811939979616
"US-Tw1","Freshwater","SPEI_3",62,0.0268646119527524,0.0030162750927326,0.0549206253854834
"US-Tw3","Freshwater","SPEI_3",35,-0.0236604122934738,0.00137444973444698,-0.0370735719137904
"US-Tw4","Freshwater","SPEI_3",60,0.0334814772808437,0.00177019277184689,0.042073658883521
"US-Tw5","Freshwater","SPEI_3",11,0.957581807188402,0.328196400028075,0.57288428153343
"US-Twt","Upland","SPEI_3",30,-0.13208871953093,0.0211862491204088,-0.14555496941159
"US-xBA","Freshwater","SPEI_3",19,0.315470424621193,0.0275376851485862,0.165944825615583
"US-xSB","Upland","SPEI_3",43,-0.482893939501487,0.020935323885979,-0.144690441584712
"US-xSE","Upland","SPEI_3",42,-1.29988727934378,0.222126354916406,-0.471302827189066
"US-A03","Saline","SPEI_6",17,2.61994312498325,0.298010860259531,0.545903709695703
"US-A10","Saline","SPEI_6",31,0.387377264450275,0.031493031380507,0.177462760545718
"US-Atq","Freshwater","SPEI_6",26,-0.898049545010326,0.114312383552305,-0.338101143967756
"US-BWb","Upland","SPEI_6",10,-0.852182322012198,0.149021131081611,-0.386032551841953
"US-Brw","Upland","SPEI_6",25,0.844741899893091,0.173959809550479,0.417084894896086
"US-CGG","Upland","SPEI_6",17,-1.79676721184508,0.468913143156404,-0.684772329432493
"US-Ced","Upland","SPEI_6",58,0.0459639075062044,0.0088324173151082,0.0939809412333597
"US-Cms","Upland","SPEI_6",19,0.238926422157711,0.0117278935533617,0.108295399502295
"US-Dix","Upland","SPEI_6",15,-0.403800327618088,0.184612245462271,-0.429665271417497
"US-Dmg","Freshwater","SPEI_6",25,-0.0758306138572293,0.041512083832753,-0.203745144316995
"US-EDN","Saline","SPEI_6",44,0.0329564132766606,0.00276714806667577,0.0526036887173873
"US-EKH","Saline","SPEI_6",15,0.0595635291689055,0.00159052961104425,0.0398814444453087
"US-EKN","Saline","SPEI_6",6,0.416881518702647,0.156300493322835,0.395348571924619
"US-EKP","Saline","SPEI_6",13,-0.38599536185865,0.2090631118883,-0.457234198073919
"US-Elm","Freshwater","SPEI_6",43,-0.009033697414583,0.0012223253185553,-0.034961769385363
"US-Esm","Freshwater","SPEI_6",50,-0.0826314502341278,0.0206393524417659,-0.143664026261851
"US-Fo1","Freshwater","SPEI_6",7,-6.81096787445455,0.107483650244732,-0.327846992123967
"US-GCE","Saline","SPEI_6",25,0.270354114927847,0.137458353990228,0.370753764633925
"US-HB1","Saline","SPEI_6",47,0.154609599979518,0.0671780397783177,0.25918726777818
"US-HB2","Upland","SPEI_6",47,0.212859990563707,0.0503470827595018,0.224381556192798
"US-HB3","Upland","SPEI_6",40,0.0791246099061644,0.0122962300123161,0.110888367344442
"US-KPL","Freshwater","SPEI_6",10,0.663547509136821,0.0716772392248763,0.267726052570302
"US-KS1","Upland","SPEI_6",8,1.41778341600079,0.154232688654591,0.3927246982997
