"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","sd_WUE_T","cv_WUE_T","stability"
"US-PAS","Upland",11,0.567951995198908,5.50359728098095,0.574227459610395,0.757777975142056,0.137687758833799,9.58435057201036
"US-PHM","Saline",32,0.66619695420262,2.54235751186982,0.135422865802705,0.36799845896784,0.144746935570516,18.7734729788819
"US-RRC","Freshwater",20,0.83343335332597,2.00530325546037,0.270365618580847,0.519966939892189,0.259295913710975,7.41700540914275
"US-SCg","Upland",32,0.3729668955615,8.61502263991034,18.9380602566325,4.35178816771136,0.505139492907548,0.454905229108306
"US-SCs","Upland",17,0.459150614500054,10.0034298028085,18.5114952719541,4.30249872422457,0.430102355795671,0.540390155189909
"US-SO2","Upland",27,0.28282864207883,6.49714297618081,13.7652986855716,3.71016154440363,0.571045082123861,0.471994333329719
"US-SO3","Upland",26,0.286007717639961,3.93726247377318,8.58368780693637,2.92979313381276,0.744119335027482,0.458691248135973
"US-SO4","Upland",8,0.181646731514593,10.3493854606223,24.8722705069952,4.98721069406489,0.4818847179903,0.416101355029553
"US-Skr","Saline",95,0.692724600631198,2.2601033224581,0.374718273862064,0.612142364047828,0.27084707055873,6.03147345648281
"US-Slt","Upland",81,0.771237259585784,2.09132799525487,2.6125881503726,1.61635025609322,0.772882235479391,0.800481313886617
"US-Snd","Upland",55,0.56239470357506,3.80216822596743,0.646479988333447,0.804039792754965,0.211468758079578,5.8813393988714
"US-Sne","Freshwater",33,0.455783676628571,1.63159022548021,1.63463414372183,1.27852811612488,0.783608590048142,0.998137859622406
"US-StJ","Saline",30,0.561468538882471,6.76306816787552,2.01796873292589,1.42055226335601,0.210045533786516,3.35142366555385
"US-TaS","Saline",28,0.212804981892579,3.24927028637582,0.53259419824613,0.729790516686898,0.224601357340726,6.10083680422335
"US-Tw1","Freshwater",62,0.539874981626514,3.3686392716348,0.346077298749133,0.588283349032703,0.174635305711202,9.73377706024192
"US-Tw3","Freshwater",35,0.590565807369299,4.04533271086132,0.435658820297939,0.66004455932758,0.163161995935569,9.28555218529672
"US-Tw4","Freshwater",60,0.48095358066604,3.6544531319693,0.79930231251318,0.894037086766081,0.244643194065073,4.57205374582103
"US-Tw5","Freshwater",11,0.484056417410463,3.3333217306808,1.35605900412735,1.164499465061,0.349351055537972,2.45809490629492
"US-Twt","Upland",30,0.598608758607481,2.89044059107291,0.91591759889386,0.957035839921296,0.331103791884562,3.15578671549018
"US-xBA","Freshwater",19,0.554926769623639,4.14754802296335,5.17924191019939,2.27579478648656,0.548708483635722,0.800802143417101
"US-xSB","Upland",43,0.318552873514131,7.46084303088513,7.44871306914925,2.7292330551181,0.365807596248853,1.00162846408813
"US-xSE","Upland",42,0.625508332504854,4.57124854034546,4.47128193944151,2.11454059772838,0.462573972748501,1.02235748097702
