"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","cv_WUE_T","stability","plasticity_slope_SPEI3","plasticity_r2_SPEI3","plasticity_range","plasticity_p95_p05","WUE_T_max","WUE_T_min","resistance","mean_WUE_T_drought","mean_WUE_T_near_normal","n_events","mean_recovery","pct_full_recovery"
"US-EDN","Saline",44,0.36049026332875,2.54164553318792,0.627319586341595,0.311622954998186,4.05159601027333,-0.078780895443637,0.0129515124762376,9.32216049642076,2.4431041319103,4.66602460438496,0.500530387368516,0.969494627967124,2.54623210384146,2.62634988414582,4,1.31006245752458,100
"US-EKH","Saline",15,0.341756103298333,3.52748812015632,2.56716142373529,0.454214536633908,1.37408114953041,-0.280499703911678,0.0709999261802267,4.08702638744754,3.37822890297837,7.46495401616736,1.82650007817283,0.90283692283941,3.55400027309528,3.93648086735088,NA,NA,NA
"US-EKN","Saline",6,0.568766546742563,0.47358616520777,0.0375413823147163,0.409125098578698,12.6150433470353,0.226386857500475,0.395298884309982,2.44519053726188,2.27093016548021,0.791583026766172,0.323730611051924,NA,NA,NA,NA,NA,NA
"US-EKP","Saline",13,0.594006825773205,5.3370501409106,0.86665484830851,0.174430249702365,6.15821875493706,-0.223477608354854,0.117866022484619,2.02733501334328,1.65416665853886,7.07525646650151,3.4899295971975,1.15664423036044,5.90568250655527,5.10587642382905,NA,NA,NA
"US-Elm","Freshwater",43,0.492628903826331,0.569467226712839,0.051590017096826,0.39885413676893,11.0383221165452,-0.0104107279951563,0.00167361245781952,9.04576301190367,3.90989739962233,1.08203628771898,0.119618022967779,1.38014750189969,0.686885845759657,0.49769017066234,2,0.719211256803016,0
"US-Esm","Freshwater",50,0.288534178523001,1.00319387523327,0.357408510070648,0.595933188286392,2.80685503273263,-0.00248457594785949,1.76050992933254e-05,33.4282462820047,13.4772216596618,2.34590020602793,0.0701771844755969,1.34450100667642,1.22201909026834,0.908901580735255,2,0.799678173722351,0
"US-Fo1","Freshwater",7,0.366568802168081,15.505485228464,170.935947494918,0.84320144128676,0.09070932975596,-4.35784922464901,0.0761895822453552,11.134103934409,7.44300955438034,42.7456945105646,3.83916790811181,NA,NA,NA,NA,NA,NA
"US-GCE","Saline",25,0.607966360106175,1.15393651104453,0.13836121562889,0.322348215022627,8.34002871252302,0.08138994381682,0.033544847449599,4.08644613874046,3.10282513564775,2.02453912003734,0.495427824398378,0.773934172047199,0.930784333658585,1.20266602416132,1,0.759971581426134,0
"US-HB1","Saline",47,0.581039480175308,1.96579901340937,0.244855016601138,0.25171864795565,8.02842041260526,0.135664629084552,0.0555962381254723,3.1628566519907,2.03788909047987,3.43876345966394,1.08723342156515,0.939410412469075,1.80197322074597,1.91819592036435,NA,NA,NA
"US-HB2","Upland",47,0.640499884983754,3.79418347697682,0.595898962726663,0.203454821509078,6.36715905598447,-0.0735120601019725,0.0072723077771319,2.29802432888756,1.91678566807487,5.82951290567931,2.53674986482902,1.19338518927968,4.41857401142452,3.70255475861198,NA,NA,NA
"US-HB3","Upland",40,0.681605395681822,4.09417543757291,0.320310914460926,0.138235446676259,12.7818792702187,-0.0823411169784296,0.0167804758006796,1.87816039203178,1.53103617358915,5.56605660093427,2.9635683004224,1.08665064975946,4.45434873283554,4.09915434534693,NA,NA,NA
