"metric","SPEI_timescale","water_class","coast_region","dry_SPEI_prob_25","dry_SPEI_prob_50","dry_SPEI_prob_75","wet_SPEI_prob_25","wet_SPEI_prob_50","wet_SPEI_prob_75","min_decline_probability_10","max_decline_probability_10"
"WUE_T","SPEI_12","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.279183367703705,0.353456753227475
"WUE_T","SPEI_12","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.364453758706943,0.44733404534478
"WUE_T","SPEI_12","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.321220658643526,0.400464330952788
"WUE_T","SPEI_12","Freshwater","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.238343435109821,0.306369803208193
"WUE_T","SPEI_12","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.269243253501603,0.342127347873261
"WUE_T","SPEI_12","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.352964297114376,0.43502019487181
"WUE_T","SPEI_12","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.310428412903446,0.38853364527401
"WUE_T","SPEI_12","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.262238787779578,0.334093653406752
"WUE_T","SPEI_12","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.295036493400424,0.371354598630274
"WUE_T","SPEI_12","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.382578949692219,0.46655522951542
"WUE_T","SPEI_12","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.338340385123363,0.419199162789643
"WUE_T","SPEI_24","Upland","Atlantic Coast",NA,NA,NA,1.01784183213619,NA,NA,0.214480676406445,0.33634030828607
"WUE_T","SPEI_24","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.243274953422547,0.373711200121058
"WUE_T","SPEI_24","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.322484608473966,0.469065190427133
"WUE_T","SPEI_24","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.282020856640988,0.421655735011031
"WUE_T","SPEI_24","Freshwater","Atlantic Coast",NA,NA,NA,1.01784183213619,NA,NA,0.206185295960631,0.325283513767212
"WUE_T","SPEI_24","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.234197941068756,0.362096170492364
"WUE_T","SPEI_24","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.311669395656812,0.456647410908928
"WUE_T","SPEI_24","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.272017840665572,0.409524959809102
"WUE_T","SPEI_24","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.227820955263296,0.353845780413911
"WUE_T","SPEI_24","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.257818366071627,0.392012808972662
"WUE_T","SPEI_24","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.339637991947172,0.488394962911328
"WUE_T","SPEI_24","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.297968501345618,0.440653294863868
"WUE_T","SPEI_36","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.274358577788261,0.30158748244208
"WUE_T","SPEI_36","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.308039187288506,0.337058094566141
"WUE_T","SPEI_36","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.397265613060344,0.429473091215875
