"site_name","water_class","coast_region","metric","SPEI_timescale","n_months","baseline_WUE","mean_pct_change","min_pct_change","pct_months_decline_2_5","pct_months_decline_5","pct_months_decline_10","pct_months_decline_20","dry_decline_2_5_threshold","dry_decline_5_threshold","dry_decline_10_threshold","dry_decline_20_threshold","wet_decline_5_threshold","wet_decline_2_5_threshold","wet_decline_10_threshold","wet_decline_20_threshold"
"US-Skr","Saline","Atlantic Coast","WUE_ET","SPEI_48",95,1.90051668265645,-7.87113993693106,-45.0646525315028,67.3684210526316,64.2105263157895,54.7368421052632,28.4210526315789,-1.11423462928199,-1.11423462928199,-1.11423462928199,-1.11598563639723,NA,NA,NA,NA
"US-Skr","Saline","Atlantic Coast","WUE_T","SPEI_48",95,2.86373834333062,-7.59786314204582,-47.4620094011792,70.5263157894737,62.1052631578947,51.5789473684211,30.5263157894737,-1.11423462928199,-1.11423462928199,-1.11598563639723,-1.11598563639723,NA,NA,NA,NA
"US-Slt","Upland","Atlantic Coast","WUE_ET","SPEI_48",85,1.85376787006008,-12.3005446559269,-92.5667882997297,47.0588235294118,45.8823529411765,44.7058823529412,43.5294117647059,-1.06646560338394,NA,NA,NA,1.26658331612053,1.26658331612053,1.26658331612053,1.26658331612053
"US-Slt","Upland","Atlantic Coast","WUE_T","SPEI_48",85,2.37232300192326,-11.2186201616591,-92.6047198357403,45.8823529411765,44.7058823529412,44.7058823529412,43.5294117647059,-1.06646560338394,NA,NA,NA,1.26658331612053,1.26658331612053,1.26658331612053,1.26658331612053
"US-Snd","Upland","Pacific Coast","WUE_ET","SPEI_48",55,2.37098347524877,1.18067689677068,-45.8156257386913,43.6363636363636,38.1818181818182,27.2727272727273,16.3636363636364,-1.08947308036406,NA,NA,NA,NA,NA,NA,NA
"US-Snd","Upland","Pacific Coast","WUE_T","SPEI_48",55,3.70807030253175,-0.208691690173433,-39.1707366804578,49.0909090909091,40,29.0909090909091,20,-1.03202470430934,-1.08947308036406,-1.08947308036406,NA,NA,NA,NA,NA
"US-SO2","Upland","Gulf Coast","WUE_ET","SPEI_48",25,1.37882455176719,0.822576932236557,-56.2137771815886,52,52,48,40,NA,NA,NA,NA,NA,NA,NA,NA
"US-SO2","Upland","Gulf Coast","WUE_T","SPEI_48",25,5.06237390892774,-1.07016226780689,-56.9855663066314,64,64,64,52,NA,NA,NA,NA,1.20424458710874,1.20424458710874,1.20424458710874,1.20424458710874
"US-SO3","Upland","Gulf Coast","WUE_ET","SPEI_48",23,0.584514087221972,33.6255405062941,-97.5496040667029,39.1304347826087,39.1304347826087,34.7826086956522,30.4347826086957,NA,NA,NA,NA,NA,NA,NA,NA
"US-SO3","Upland","Gulf Coast","WUE_T","SPEI_48",23,2.50355464215956,19.4454475376678,-96.5541306533447,56.5217391304348,56.5217391304348,56.5217391304348,39.1304347826087,NA,NA,NA,NA,1.20424458710874,1.20424458710874,1.20424458710874,NA
"US-SO4","Upland","Gulf Coast","WUE_ET","SPEI_48",3,1.76373753490931,0,-3.50969722020449,33.3333333333333,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
