"metric","SPEI_timescale","water_class","coast_region","SPEI_value","month_f","site_name","model_group","decline_probability_10","decline_probability_10_lower","decline_probability_10_upper"
"WUE_T","SPEI_6","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.252281116814517,0.146060725358096,0.399600846157269
"WUE_ET","SPEI_12","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.274432653599615,0.164907171469826,0.420106591096897
"WUE_T","SPEI_12","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.269243253501603,0.157730606872793,0.420256772939905
"WUE_ET","SPEI_24","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.276753029448653,0.162935837809579,0.429300358357638
"WUE_T","SPEI_24","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.234197941068756,0.134179967616183,0.376361911116202
"WUE_ET","SPEI_36","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.356307189690851,0.211846928604355,0.53269618234638
"WUE_T","SPEI_36","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.298498927726793,0.178433458091808,0.45464625854947
"WUE_ET","SPEI_48","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.364909630298043,0.219206820001739,0.540426435033807
"WUE_T","SPEI_48","Freshwater","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.363803259109956,0.217854784419078,0.540019820436358
"WUE_ET","SPEI_1","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.316912838116684,0.212192695417724,0.44417554494657
"WUE_T","SPEI_1","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.297026663923277,0.195122730478593,0.424107746281776
"WUE_ET","SPEI_3","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.294047263567084,0.198915952538921,0.411314957657568
"WUE_T","SPEI_3","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.278316163697861,0.179666229947879,0.40442805188426
"WUE_ET","SPEI_6","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.295140306933009,0.19982077843323,0.41249008833006
"WUE_T","SPEI_6","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.277065500688193,0.180509554372632,0.400056348322005
"WUE_ET","SPEI_12","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.300518587832784,0.203839494984234,0.418924176122215
"WUE_T","SPEI_12","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.295036493400424,0.194390842810931,0.420586542938039
"WUE_ET","SPEI_24","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.30296742744106,0.200473270972766,0.429700147032178
"WUE_T","SPEI_24","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.257818366071627,0.166329554200384,0.376880475382491
"WUE_ET","SPEI_36","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.386034981115524,0.255337489528518,0.535521314826385
"WUE_T","SPEI_36","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.325845121622169,0.218789991417283,0.454787908729757
"WUE_ET","SPEI_48","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.394914813160158,0.263991160698378,0.542876475494244
"WUE_T","SPEI_48","Saline","Pacific Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.393773874844566,0.262331672951547,0.542629305126511
"WUE_ET","SPEI_1","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.388639676962762,0.232489615681836,0.571564881256455
"WUE_T","SPEI_1","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.366668633245121,0.214712036274192,0.550745245325104
"WUE_ET","SPEI_3","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.363351742885098,0.21713705848879,0.54009794316821
"WUE_T","SPEI_3","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.345728733888005,0.198502032307293,0.529951081005851
"WUE_ET","SPEI_6","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.364569366240852,0.218074538720173,0.541342967727465
"WUE_T","SPEI_6","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.344319670417666,0.199023987675133,0.526026432043676
"WUE_ET","SPEI_12","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.370547722078849,0.222401243458639,0.547851079187197
"WUE_T","SPEI_12","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.364453758706943,0.213831466208418,0.547311208933023
"WUE_ET","SPEI_24","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.373262695744677,0.220322573281724,0.556580984535978
"WUE_T","SPEI_24","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.322484608473966,0.183789071996017,0.5015325795001
"WUE_ET","SPEI_36","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.462806791576472,0.281376295939817,0.654651425637239
"WUE_T","SPEI_36","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.3984144684894,0.239675247907,0.581834562444837
"WUE_ET","SPEI_48","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.472094687195828,0.290266593354854,0.661640832827177
"WUE_T","SPEI_48","Upland","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.470904302223144,0.288704376943038,0.661202156609595
"WUE_ET","SPEI_1","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.376839845298789,0.206276556459003,0.584567174913252
"WUE_T","SPEI_1","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.355148365749882,0.190185723116621,0.563612066165716
"WUE_ET","SPEI_3","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.351877787620331,0.1918451217156,0.553908301327497
"WUE_T","SPEI_3","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.33451887313631,0.175522085744562,0.542733371716878
"WUE_ET","SPEI_6","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.353078284833291,0.192714698704383,0.555123849854786
"WUE_T","SPEI_6","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.333132234567459,0.175793529342321,0.539171157917055
"WUE_ET","SPEI_12","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.358974658328943,0.196684402589511,0.5615642326947
"WUE_T","SPEI_12","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.352964297114376,0.18926886894555,0.560378606452062
"WUE_ET","SPEI_24","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.361653556233102,0.195215480447988,0.569566263048885
"WUE_T","SPEI_24","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.311669395656812,0.161971584869401,0.514740372316186
"WUE_ET","SPEI_36","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.450414139030517,0.252572309810389,0.665286958020219
"WUE_T","SPEI_36","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.386505482444606,0.212920637732263,0.594683004317537
"WUE_ET","SPEI_48","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.459666142066891,0.260709434899546,0.672367168423899
"WUE_T","SPEI_48","Freshwater","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.458479878460255,0.259310260996274,0.671864252797146
"WUE_ET","SPEI_1","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.407197038413507,0.249800971607692,0.586264530960154
"WUE_T","SPEI_1","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.384837276453184,0.231090384156896,0.565627198284336
"WUE_ET","SPEI_3","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.381455022452088,0.233687414243119,0.554989631920247
"WUE_T","SPEI_3","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.363455240160019,0.213885618501253,0.545093084059871
"WUE_ET","SPEI_6","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.382696844620573,0.234703150748193,0.55618868251148
"WUE_T","SPEI_6","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.362013904692686,0.214431728370178,0.541193474240195
"WUE_ET","SPEI_12","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.388790581495947,0.239268365563407,0.562643425265055
"WUE_T","SPEI_12","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.382578949692219,0.230102946647476,0.562298989582626
"WUE_ET","SPEI_24","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.391556072340788,0.236907281197358,0.571545276965213
"WUE_T","SPEI_24","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.339637991947172,0.198269441233839,0.516826130976055
