"metric","water_class","SPEI_value","month_f","site_name","SPEI_timescale","model_group","decline_probability_2_5","decline_probability_2_5_lower","decline_probability_2_5_upper"
"WUE_T","Saline",-1.79604387706792,"7","US-A03","SPEI_48","WUE_T",0.516469333065418,0.399596557664886,0.631567835336452
"WUE_ET","Upland",-1.77307361086736,"7","US-A03","SPEI_48","WUE_ET",0.532169861602397,0.397531746345839,0.66228084948184
"WUE_T","Upland",-1.77307361086736,"7","US-A03","SPEI_48","WUE_T",0.442536931185422,0.32787387881459,0.563670535512951
"WUE_ET","Freshwater",-1.77307361086736,"7","US-A03","SPEI_48","WUE_ET",0.544921460982769,0.407705900648899,0.675638719264533
"WUE_T","Freshwater",-1.77307361086736,"7","US-A03","SPEI_48","WUE_T",0.455230688289648,0.33662996325857,0.579137173666238
"WUE_ET","Saline",-1.77307361086736,"7","US-A03","SPEI_48","WUE_ET",0.604829411362869,0.474261149097236,0.721979986067751
"WUE_T","Saline",-1.77307361086736,"7","US-A03","SPEI_48","WUE_T",0.51646882229345,0.399596437101839,0.631567000421783
"WUE_ET","Upland",-1.75010334466679,"7","US-A03","SPEI_48","WUE_ET",0.529782592890993,0.395608677125565,0.659785721641426
"WUE_T","Upland",-1.75010334466679,"7","US-A03","SPEI_48","WUE_T",0.442536418793397,0.327873768893103,0.563669636529601
"WUE_ET","Freshwater",-1.75010334466679,"7","US-A03","SPEI_48","WUE_ET",0.542543327612494,0.405734396357081,0.673223113484882
"WUE_T","Freshwater",-1.75010334466679,"7","US-A03","SPEI_48","WUE_T",0.455230173202258,0.336629830104143,0.579136306515137
"WUE_ET","Saline",-1.75010334466679,"7","US-A03","SPEI_48","WUE_ET",0.602535994323079,0.472256196214647,0.719740621461237
"WUE_T","Saline",-1.75010334466679,"7","US-A03","SPEI_48","WUE_T",0.516468303606408,0.399596309030252,0.631566158038619
"WUE_ET","Upland",-1.72713307846623,"7","US-A03","SPEI_48","WUE_ET",0.52739575321046,0.393681451243529,0.65729190386298
"WUE_T","Upland",-1.72713307846623,"7","US-A03","SPEI_48","WUE_T",0.44253589845514,0.327873652281543,0.563668729168003
"WUE_ET","Freshwater",-1.72713307846623,"7","US-A03","SPEI_48","WUE_ET",0.540165040086997,0.403758940396295,0.670807867936746
"WUE_T","Freshwater",-1.72713307846623,"7","US-A03","SPEI_48","WUE_T",0.455229650126808,0.336629690477607,0.57913543072572
"WUE_ET","Saline",-1.72713307846623,"7","US-A03","SPEI_48","WUE_ET",0.600239790132428,0.470243922994183,0.717499877062107
"WUE_T","Saline",-1.72713307846623,"7","US-A03","SPEI_48","WUE_T",0.516467776875345,0.399596173474753,0.631565307922758
"WUE_ET","Upland",-1.70416281226566,"7","US-A03","SPEI_48","WUE_ET",0.525009505063103,0.391750562229526,0.654799322543344
"WUE_T","Upland",-1.70416281226566,"7","US-A03","SPEI_48","WUE_T",0.442535370050454,0.327873528994274,0.56366781317245
"WUE_ET","Freshwater",-1.70416281226566,"7","US-A03","SPEI_48","WUE_ET",0.537786760486016,0.40178004017491,0.668392892095848
