"site_name","metric","SPEI_timescale","month_f","baseline_WUE","baseline_n"
"US-Fo1","WUE_ET","SPEI_48","7",5.73453052597967,1
"US-Fo1","WUE_ET","SPEI_48","8",7.5810391095704,2
"US-Fo1","WUE_T","SPEI_48","6",3.83916790811181,1
"US-Fo1","WUE_T","SPEI_48","7",18.9663501300236,1
"US-Fo1","WUE_T","SPEI_48","8",28.4501756240376,2
"US-GCE","WUE_ET","SPEI_48","2",0.80099182410913,2
"US-GCE","WUE_ET","SPEI_48","3",0.668119141680832,2
"US-GCE","WUE_ET","SPEI_48","4",0.866407997604641,3
"US-GCE","WUE_ET","SPEI_48","5",0.69216121804641,2
"US-GCE","WUE_ET","SPEI_48","6",0.919057632369836,1
"US-GCE","WUE_ET","SPEI_48","7",1.0881199898524,1
"US-GCE","WUE_ET","SPEI_48","8",0.590587709874722,2
"US-GCE","WUE_ET","SPEI_48","9",0.647253286500477,2
"US-GCE","WUE_ET","SPEI_48","10",0.303440127022417,1
"US-GCE","WUE_T","SPEI_48","2",1.69773466017601,2
"US-GCE","WUE_T","SPEI_48","3",1.1879127769753,2
"US-GCE","WUE_T","SPEI_48","4",1.30214162598406,3
"US-GCE","WUE_T","SPEI_48","5",0.997142679847075,2
"US-GCE","WUE_T","SPEI_48","6",1.25062714793909,1
"US-GCE","WUE_T","SPEI_48","7",2.01121839124688,1
"US-GCE","WUE_T","SPEI_48","8",0.966716591967331,2
"US-GCE","WUE_T","SPEI_48","9",1.0513088743368,2
"US-GCE","WUE_T","SPEI_48","10",0.590824045541042,1
"US-HB1","WUE_ET","SPEI_48","4",0.893443048019743,3
"US-HB1","WUE_ET","SPEI_48","5",1.09901343186051,2
"US-HB1","WUE_ET","SPEI_48","6",1.10774310190712,3
"US-HB1","WUE_ET","SPEI_48","7",1.16283171459129,2
"US-HB1","WUE_ET","SPEI_48","8",1.12560310836922,2
"US-HB1","WUE_ET","SPEI_48","9",1.00596272632607,3
"US-HB1","WUE_ET","SPEI_48","10",1.22988042359242,2
"US-HB1","WUE_T","SPEI_48","4",1.45662756000339,3
"US-HB1","WUE_T","SPEI_48","5",1.78114497484862,2
"US-HB1","WUE_T","SPEI_48","6",1.8358625981982,3
"US-HB1","WUE_T","SPEI_48","7",1.99877126867442,2
"US-HB1","WUE_T","SPEI_48","8",2.19699572319064,2
"US-HB1","WUE_T","SPEI_48","9",1.75722682485507,3
"US-HB1","WUE_T","SPEI_48","10",2.35532575854742,2
"US-HB2","WUE_ET","SPEI_48","3",2.35305264122848,3
"US-HB2","WUE_ET","SPEI_48","4",2.212807535368,3
"US-HB2","WUE_ET","SPEI_48","5",2.40538530194218,1
"US-HB2","WUE_ET","SPEI_48","6",2.19678188162586,2
"US-HB2","WUE_ET","SPEI_48","7",2.40202292879498,1
"US-HB2","WUE_ET","SPEI_48","8",2.40833392363831,1
"US-HB2","WUE_ET","SPEI_48","9",2.33622288695167,2
"US-HB2","WUE_ET","SPEI_48","10",2.38212421711679,3
"US-HB2","WUE_T","SPEI_48","3",3.70792139754324,3
"US-HB2","WUE_T","SPEI_48","4",3.4914715407412,3
"US-HB2","WUE_T","SPEI_48","5",3.97234765393266,1
"US-HB2","WUE_T","SPEI_48","6",3.22598264068624,2
"US-HB2","WUE_T","SPEI_48","7",3.64423203123561,1
"US-HB2","WUE_T","SPEI_48","8",3.66466106997218,1
"US-HB2","WUE_T","SPEI_48","9",3.36115025557793,2
"US-HB2","WUE_T","SPEI_48","10",3.65954370042949,3
"US-HB3","WUE_ET","SPEI_48","4",2.89075869106229,3
"US-HB3","WUE_ET","SPEI_48","5",2.97717970270926,1
"US-HB3","WUE_ET","SPEI_48","6",2.73988348984368,2
"US-HB3","WUE_ET","SPEI_48","7",2.685192074729,1
"US-HB3","WUE_ET","SPEI_48","8",2.65001377203203,1
"US-HB3","WUE_ET","SPEI_48","9",2.73642496873769,2
"US-HB3","WUE_ET","SPEI_48","10",2.8103112818726,2
"US-HB3","WUE_T","SPEI_48","4",4.42247587979113,3
"US-HB3","WUE_T","SPEI_48","5",4.53237462385236,1
"US-HB3","WUE_T","SPEI_48","6",3.82345021484411,2
"US-HB3","WUE_T","SPEI_48","7",3.63196820959775,1
"US-HB3","WUE_T","SPEI_48","8",3.71675843908899,1
"US-HB3","WUE_T","SPEI_48","9",3.6497874411591,2
"US-HB3","WUE_T","SPEI_48","10",4.19283826532693,2
"US-KPL","WUE_ET","SPEI_48","6",1.62823054875426,2
"US-KPL","WUE_ET","SPEI_48","7",2.98510469162584,2
"US-KPL","WUE_ET","SPEI_48","8",2.49946705762815,1
"US-KPL","WUE_T","SPEI_48","6",3.5860377440892,2
"US-KPL","WUE_T","SPEI_48","7",7.26010615085936,2
"US-KPL","WUE_T","SPEI_48","8",5.24180021852055,1
"US-KS1","WUE_ET","SPEI_48","4",2.37551232004796,1
"US-KS1","WUE_ET","SPEI_48","5",1.99302181699428,1
"US-KS1","WUE_ET","SPEI_48","6",3.27605231040652,1
"US-KS1","WUE_ET","SPEI_48","7",2.87152127719913,1
"US-KS1","WUE_ET","SPEI_48","8",1.85088984450094,1
"US-KS1","WUE_ET","SPEI_48","9",1.8234245287404,1
"US-KS1","WUE_ET","SPEI_48","10",2.99606117130693,1
"US-KS1","WUE_ET","SPEI_48","11",2.81668890332174,1
"US-KS1","WUE_T","SPEI_48","4",3.64667445883325,1
"US-KS1","WUE_T","SPEI_48","5",3.12167126417718,1
"US-KS1","WUE_T","SPEI_48","6",6.39468417362462,1
"US-KS1","WUE_T","SPEI_48","7",4.85210505306993,1
"US-KS1","WUE_T","SPEI_48","8",2.92044983369787,1
"US-KS1","WUE_T","SPEI_48","9",2.46954670444233,1
"US-KS1","WUE_T","SPEI_48","10",4.38481556921852,1
"US-KS1","WUE_T","SPEI_48","11",4.15764894118229,1
"US-KS2","WUE_ET","SPEI_48","4",2.57372645543116,6
"US-KS2","WUE_ET","SPEI_48","5",2.65560622883125,6
"US-KS2","WUE_ET","SPEI_48","6",2.25921696029578,6
"US-KS2","WUE_ET","SPEI_48","7",2.20901900324813,7
"US-KS2","WUE_ET","SPEI_48","8",1.96561703451555,7
"US-KS2","WUE_ET","SPEI_48","9",2.19872949267124,7
"US-KS2","WUE_ET","SPEI_48","10",2.68316415761796,5
"US-KS2","WUE_T","SPEI_48","4",3.62622761610503,6
