"metric","SPEI_timescale","water_class","decline_threshold_pct","dry_SPEI_threshold","dry_SPEI_threshold_lower","dry_SPEI_threshold_upper","wet_SPEI_threshold","wet_SPEI_threshold_lower","wet_SPEI_threshold_upper","min_predicted_pct_change","max_predicted_pct_change"
"WUE_ET","SPEI_48","Freshwater",1.5,-1.00307259100315,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.65821227881403,-0.398559574987967
"WUE_ET","SPEI_48","Freshwater",2.5,-2.04874342456424,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.65821227881403,-0.398559574987967
"WUE_ET","SPEI_48","Freshwater",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.65821227881403,-0.398559574987967
"WUE_ET","SPEI_48","Freshwater",10,NA,NA,-1.84415565278055,NA,NA,NA,-2.65821227881403,-0.398559574987967
"WUE_ET","SPEI_48","Freshwater",20,NA,NA,NA,NA,NA,NA,-2.65821227881403,-0.398559574987967
"WUE_T","SPEI_48","Freshwater",0.5,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",1,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",1.5,NA,NA,-1.00307259100315,1.15646500004692,NA,1.02007315219112,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",2.5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",10,NA,NA,NA,NA,NA,NA,-2.0368083291606,1.03038469485574
"WUE_T","SPEI_48","Freshwater",20,NA,NA,NA,NA,NA,NA,-2.0368083291606,1.03038469485574
"WUE_ET","SPEI_48","Saline",0.5,-1.00307259100315,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",1,-1.09400048957368,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",1.5,-1.63956788099686,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",2.5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",10,NA,NA,-1.77595972885265,NA,NA,NA,-2.00823919355093,0.251413510275137
"WUE_ET","SPEI_48","Saline",20,NA,NA,NA,NA,NA,NA,-2.00823919355093,0.251413510275137
"WUE_T","SPEI_48","Saline",0.5,NA,NA,-1.00307259100315,1.02007315219112,NA,1.02007315219112,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",1,NA,NA,-1.00307259100315,1.33832079718797,NA,1.02007315219112,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",1.5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",2.5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",5,NA,NA,-1.00307259100315,NA,NA,1.02007315219112,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",10,NA,NA,NA,NA,NA,NA,-1.3868352438975,1.68035778011884
"WUE_T","SPEI_48","Saline",20,NA,NA,NA,NA,NA,NA,-1.3868352438975,1.68035778011884
