"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","SPEI_1","WUE_difference","simple_gam_fitted","simple_gam_residual"
"US-Atq",2000,6,"Freshwater","WUE_ET_minus_WUE_T",0.364258218326102,-1.09273071576615,-0.838656732308364,-2.97897465627518,-2.11172484445285,-0.867249811822338
"US-Atq",2000,7,"Freshwater","WUE_ET_minus_WUE_T",0.725792928723939,0.989936141986438,0.834837214937121,-0.264158095476769,-0.283106683241153,0.0189485877643845
"US-Atq",2001,8,"Freshwater","WUE_ET_minus_WUE_T",0.440778346215294,-0.651926749445894,0.725363358600853,-1.5147387938948,-1.75951525808752,0.244776464192718
"US-Atq",2002,6,"Freshwater","WUE_ET_minus_WUE_T",0.406286209381596,-0.850623107418164,0.584011274302304,-2.68279077635533,-1.88462763449557,-0.79816314185976
"US-Atq",2002,7,"Freshwater","WUE_ET_minus_WUE_T",0.306630850423194,-1.42470052607518,-0.881957632962417,-2.78421146175896,-2.45120251679051,-0.333008944968448
"US-Atq",2002,8,"Freshwater","WUE_ET_minus_WUE_T",0.309497087813252,-1.40818919964636,0.157795464918514,-3.24178446135248,-2.46886614364628,-0.772918317706201
"US-Atq",2003,5,"Freshwater","WUE_ET_minus_WUE_T",0.661982292058579,0.62234682252996,0.82682645240046,-0.0951859611805246,-0.610945495047904,0.515759533867379
"US-Atq",2003,8,"Freshwater","WUE_ET_minus_WUE_T",0.721331944435714,0.964238072443362,0.9050683279522,-0.12619725439504,-0.338074912742153,0.211877658347113
"US-Atq",2004,5,"Freshwater","WUE_ET_minus_WUE_T",0.774041190873871,1.2678764161395,0.786836262209212,-0.0111024346723468,-0.064639448919338,0.0535370142469912
"US-Atq",2004,6,"Freshwater","WUE_ET_minus_WUE_T",0.675105252264189,0.69794331025241,-0.5091188277994,-0.0906137098413141,-0.504973595727253,0.414359885885939
"US-Atq",2004,7,"Freshwater","WUE_ET_minus_WUE_T",0.591284486144797,0.215083085306958,0.893314003235786,-0.349834340508667,-0.948249658603953,0.598415318095286
"US-Atq",2004,8,"Freshwater","WUE_ET_minus_WUE_T",0.554508261580966,0.003228948347122,-0.539729212039169,-0.513941263796251,-1.16761989179987,0.653678628003617
"US-Atq",2005,6,"Freshwater","WUE_ET_minus_WUE_T",0.663647179125735,0.631937617042748,-0.41536463458611,-0.10171439343039,-0.561469828008537,0.459755434578147
"US-Atq",2005,7,"Freshwater","WUE_ET_minus_WUE_T",0.678063426021373,0.714984247861919,-0.842549508926646,-0.24931710653371,-0.516571509284316,0.267254402750607
"US-Atq",2006,6,"Freshwater","WUE_ET_minus_WUE_T",0.534575415641756,-0.111596755587634,0.982891222745219,-0.391853181586958,-1.21004866333527,0.818195481748307
"US-Atq",2006,7,"Freshwater","WUE_ET_minus_WUE_T",0.573467209298166,0.112444387232719,0.955154667586715,-0.723262666564653,-1.0381448880583,0.314882221493652
"US-Atq",2006,8,"Freshwater","WUE_ET_minus_WUE_T",0.483407993277769,-0.406353224854,0.17025918580074,-1.31256694342576,-1.53452990029965,0.221962956873892
"US-Brw",1998,8,"Upland","WUE_ET_minus_WUE_T",0.659668467888357,0.609017742982699,0.232559805894608,-0.538967306836276,-0.695561504407573,0.156594197571297
