site_name,Year,month,salinity
US-HB1,1996,7,28.035714285714285
US-HB1,1996,8,32.36666666666667
US-HB1,1997,5,28.548387096774192
US-HB1,1997,6,28.433333333333334
US-HB1,1997,7,31.444444444444443
US-HB1,1997,8,24.708333333333332
US-HB1,1998,5,28.90909090909091
US-HB1,1998,6,32.166666666666664
US-HB1,1998,7,34.592592592592595
US-HB1,1998,8,33.63333333333333
US-HB1,1999,5,30.225806451612904
US-HB1,1999,6,34.57142857142857
US-HB1,1999,7,33.827586206896555
US-HB1,1999,8,35.10344827586207
US-HB1,2000,5,33.2962962962963
US-HB1,2000,6,35.42857142857143
US-HB1,2000,7,35.76470588235294
US-HB1,2000,8,32.12903225806452
US-HB1,2001,5,35.38709677419355
US-HB1,2001,6,34.2
US-HB1,2001,7,34.0
US-HB1,2001,8,33.806451612903224
US-HB1,2002,5,35.03225806451613
US-HB1,2002,6,34.56666666666667
US-HB1,2002,7,35.54545454545455
US-HB1,2002,8,34.54838709677419
US-HB1,2003,5,26.967741935483872
US-HB1,2003,6,26.48
US-HB1,2003,7,24.65
US-HB1,2003,8,29.451612903225808
US-HB1,2004,5,34.4
US-HB1,2004,6,36.36666666666667
US-HB1,2004,7,35.125
US-HB1,2004,8,29.483870967741936
US-HB1,2005,5,33.193548387096776
US-HB1,2005,6,32.46666666666667
US-HB1,2005,7,30.774193548387096
US-HB1,2005,8,33.483870967741936
US-HB1,2006,5,34.61290322580645
US-HB1,2006,6,34.766666666666666
US-HB1,2006,7,33.87096774193548
US-HB1,2006,8,36.16129032258065
US-HB1,2007,5,34.74193548387097
US-HB1,2007,6,35.666666666666664
US-HB1,2007,7,35.193548387096776
US-HB1,2007,8,35.54838709677419
US-HB1,2008,5,34.58064516129032
US-HB1,2008,6,36.724137931034484
US-HB1,2008,7,34.294117647058826
US-HB1,2008,8,35.064516129032256
US-HB1,2009,5,35.25806451612903
US-HB1,2009,6,34.0
US-HB1,2009,7,35.32258064516129
US-HB1,2009,8,34.12903225806452
US-HB1,2010,5,35.25806451612903
US-HB1,2010,6,33.9
US-HB1,2010,7,34.96296296296296
US-HB1,2010,8,34.806451612903224
US-HB1,2011,5,35.096774193548384
US-HB1,2011,6,36.06666666666667
US-HB1,2011,7,35.483870967741936
US-HB1,2011,8,36.03225806451613
US-HB1,2012,5,33.935483870967744
US-HB1,2012,6,32.56666666666667
US-HB1,2012,7,35.096774193548384
US-HB1,2012,8,32.903225806451616
US-HB1,2013,5,32.29032258064516
US-HB1,2013,6,30.133333333333333
US-HB1,2013,7,25.903225806451612
US-HB1,2013,8,31.0
US-HB1,2014,5,31.64516129032258
US-HB1,2014,6,35.333333333333336
US-HB1,2014,7,34.064516129032256
US-HB1,2014,8,32.225806451612904
US-HB1,2015,5,30.70967741935484
US-HB1,2015,6,33.607142857142854
US-HB1,2015,7,35.45161290322581
US-HB1,2015,8,33.516129032258064
US-HB1,2016,5,34.32258064516129
US-HB1,2016,6,34.0
US-HB1,2016,7,34.935483870967744
US-HB1,2016,8,35.0
US-HB1,2017,5,31.677419354838708
US-HB1,2017,6,30.566666666666666
US-HB1,2017,7,34.29032258064516
US-HB1,2017,8,33.193548387096776
US-HB1,2018,5,32.354838709677416
US-HB1,2018,6,33.333333333333336
US-HB1,2018,7,30.129032258064516
US-HB1,2018,8,32.03225806451613
US-HB1,2019,5,32.67741935483871
US-HB1,2019,6,33.96666666666667
US-HB1,2019,7,35.193548387096776
US-HB1,2019,8,35.61290322580645
US-HB1,2020,5,30.870967741935484
US-HB1,2020,6,23.7
US-HB1,2020,7,29.903225806451612
US-HB1,2020,8,28.29032258064516
US-HB1,2021,5,33.935483870967744
US-HB1,2021,6,30.73
US-HB1,2021,7,32.70967741935484
US-HB1,2021,8,30.161290322580644
US-HB1,2022,5,34.41935483870968
US-HB1,2022,6,35.53333333333333
US-HB1,2022,7,33.2
US-HB1,2022,8,32.93333333333333
US-HB1,2023,5,32.354838709677416
US-HB1,2023,6,34.3
US-HB1,2023,7,29.989285714285717
US-HB1,2023,8,35.70967741935484
US-KS3,2022,5,25.49194486983155
US-KS3,2022,6,24.693624823695345
US-KS3,2022,7,22.16911373707533
US-KS3,2022,8,22.135162601626018
US-KS3,2023,5,22.20112737920937
US-KS3,2023,6,25.46534693877551
US-KS3,2023,8,19.15181434599156
US-KS3,2024,5,25.2733264033264
US-KS3,2024,6,26.869194444444442
US-KS3,2024,7,25.77810040705563
US-KS3,2024,8,24.700029197080294
US-TaS,1991,5,53.0
US-TaS,1991,6,46.5
US-TaS,1991,7,34.5
US-TaS,1991,8,34.1
US-TaS,1992,5,37.4
US-TaS,1992,6,37.6
US-TaS,1992,7,21.1
US-TaS,1992,8,15.5
US-TaS,1993,5,24.2
US-TaS,1993,6,25.3
US-TaS,1993,7,26.0
US-TaS,1993,8,26.3
US-TaS,1994,5,30.4
US-TaS,1994,6,29.7
US-TaS,1994,7,33.35
US-TaS,1994,8,35.0
US-TaS,1995,5,29.0
US-TaS,1995,6,20.1
US-TaS,1995,7,15.3
US-TaS,1995,8,10.75
US-TaS,1996,5,20.5078125
US-TaS,1996,6,13.23225806451613
US-TaS,1996,7,1.2596774193548386
US-TaS,1996,8,5.690740740740741
US-TaS,1997,5,27.65555555555556
US-TaS,1997,6,9.019354838709678
US-TaS,1997,7,0.0
US-TaS,1997,8,2.585
US-TaS,1998,5,15.971428571428572
US-TaS,1998,6,18.295454545454547
US-TaS,1998,7,18.672
US-TaS,1998,8,7.507407407407407
US-TaS,1999,5,34.12222222222223
US-TaS,1999,6,30.8875
US-TaS,1999,7,23.375
US-TaS,1999,8,13.863636363636363
US-TaS,2000,5,18.666666666666668
US-TaS,2000,6,22.39375
US-TaS,2000,7,23.03333333333333
US-TaS,2000,8,17.099999999999998
US-TaS,2001,5,32.875
US-TaS,2001,6,17.520833333333332
US-TaS,2001,7,36.67272727272727
US-TaS,2001,8,8.726923076923077
US-TaS,2002,5,27.808333333333334
US-TaS,2002,6,20.708333333333332
US-TaS,2002,7,4.525
US-TaS,2002,8,2.6566666666666667
US-TaS,2003,5,12.016666666666666
US-TaS,2003,6,5.48125
US-TaS,2003,7,3.092307692307692
US-TaS,2003,8,6.75
US-TaS,2004,5,28.692307692307693
US-TaS,2004,6,35.41153846153846
US-TaS,2004,7,39.34666666666667
US-TaS,2004,8,25.40357142857143
US-TaS,2005,5,46.47692307692308
US-TaS,2005,6,35.74166666666667
US-TaS,2005,7,13.830000000000002
US-TaS,2005,8,15.85
US-TaS,2006,5,32.59285714285714
US-TaS,2006,6,30.572727272727274
US-TaS,2006,7,8.036363636363635
US-TaS,2006,8,3.408333333333333
US-TaS,2007,5,30.39428571428571
US-TaS,2007,6,21.19192307692308
US-TaS,2007,7,5.046363636363636
US-TaS,2007,8,10.20722222222222
US-TaS,2008,5,33.089999999999996
US-TaS,2008,6,34.129615384615384
US-TaS,2008,7,33.36
US-TaS,2008,8,32.93636363636364
US-TaS,2009,5,41.65833333333334
US-TaS,2009,6,22.86923076923077
US-TaS,2009,7,9.053846153846154
US-TaS,2009,8,11.292857142857143
US-TaS,2010,5,23.1
US-TaS,2010,6,28.157142857142855
US-TaS,2010,7,20.73846153846154
US-TaS,2010,8,15.253333333333332
US-TaS,2011,5,34.36153846153846
US-TaS,2011,6,37.42142857142857
US-TaS,2011,7,31.683333333333334
US-TaS,2011,8,27.953333333333333
US-TaS,2012,5,18.075
US-TaS,2012,6,5.946153846153846
US-TaS,2012,7,3.466666666666667
US-TaS,2012,8,1.9923076923076926
US-TaS,2013,5,26.95
US-TaS,2013,6,4.961538461538462
US-TaS,2013,7,1.8333333333333333
US-TaS,2013,8,4.307142857142857
US-TaS,2014,5,29.73846153846154
US-TaS,2014,6,34.34615384615385
US-TaS,2014,7,24.838461538461537
US-TaS,2014,8,18.492307692307694
US-TaS,2015,5,36.35
US-TaS,2015,6,41.32857142857143
US-TaS,2015,7,46.9
US-TaS,2015,8,47.357142857142854
US-TaS,2016,5,17.349999999999998
US-TaS,2016,6,16.87333333333333
