"site_name","timescale","metric","month_f","baseline_mean","baseline_median","baseline_n"
"US-Dmg","SPEI_48","WUE_ET","10",1.65078810534787,1.65078810534787,1
"US-Dmg","SPEI_48","WUE_T","4",1.99064582405032,1.99064582405032,1
"US-Dmg","SPEI_48","WUE_T","5",2.31728884908748,2.31728884908748,2
"US-Dmg","SPEI_48","WUE_T","6",2.69367838641942,2.69367838641942,2
"US-Dmg","SPEI_48","WUE_T","7",2.77052063894529,2.77052063894529,2
"US-Dmg","SPEI_48","WUE_T","8",2.65623072904522,2.65623072904522,2
"US-Dmg","SPEI_48","WUE_T","9",2.86512043638144,2.86512043638144,2
"US-Dmg","SPEI_48","WUE_T","10",3.22492795798773,3.22492795798773,1
"US-EDN","SPEI_6","WUE_ET","3",0.698889349163278,0.68370880333622,3
"US-EDN","SPEI_6","WUE_ET","4",0.753535681470587,0.753501338538482,3
"US-EDN","SPEI_6","WUE_ET","5",0.897745821526017,0.810528729407536,3
"US-EDN","SPEI_6","WUE_ET","6",1.01831243854893,1.01831243854893,2
"US-EDN","SPEI_6","WUE_ET","7",0.920739348292304,0.920739348292304,2
"US-EDN","SPEI_6","WUE_ET","8",0.919750527019636,0.954170488185508,3
"US-EDN","SPEI_6","WUE_ET","9",0.832019872638551,0.832019872638551,2
"US-EDN","SPEI_6","WUE_T","3",1.74960235195794,1.67528266738086,3
"US-EDN","SPEI_6","WUE_T","4",1.95165298031052,2.13800373083324,3
"US-EDN","SPEI_6","WUE_T","5",2.37208289751388,2.14302579502432,3
"US-EDN","SPEI_6","WUE_T","6",2.89740520361489,2.89740520361489,2
"US-EDN","SPEI_6","WUE_T","7",2.95650866330932,2.95650866330932,2
"US-EDN","SPEI_6","WUE_T","8",2.82186860357449,2.64781326167798,3
"US-EDN","SPEI_6","WUE_T","9",2.47287752839896,2.47287752839896,2
"US-EDN","SPEI_48","WUE_ET","3",0.785246964932715,0.822066292671018,3
"US-EDN","SPEI_48","WUE_ET","4",0.82366131344076,0.893769773944881,4
"US-EDN","SPEI_48","WUE_ET","5",1.0110209168717,0.980815241961598,4
"US-EDN","SPEI_48","WUE_ET","6",1.06445194468311,1.07925775855692,4
"US-EDN","SPEI_48","WUE_ET","7",1.05027433857654,0.981094573795662,4
"US-EDN","SPEI_48","WUE_ET","8",0.969027810555247,0.969027810555247,2
"US-EDN","SPEI_48","WUE_ET","9",0.917915453934378,0.917915453934378,1
"US-EDN","SPEI_48","WUE_T","3",1.99505594576532,2.02729023659212,3
"US-EDN","SPEI_48","WUE_T","4",2.09212112368534,2.32576464232151,4
"US-EDN","SPEI_48","WUE_T","5",2.53245675860025,2.56332516632484,4
"US-EDN","SPEI_48","WUE_T","6",2.88914887723064,2.88089255084639,4
"US-EDN","SPEI_48","WUE_T","7",3.29071159007021,3.14646370480253,4
"US-EDN","SPEI_48","WUE_T","8",2.90889627452275,2.90889627452275,2
"US-EDN","SPEI_48","WUE_T","9",2.19998489928952,2.19998489928952,1
"US-EKH","SPEI_6","WUE_ET","2",0.955865365260242,0.955865365260242,1
"US-EKH","SPEI_6","WUE_ET","3",1.168008739412,1.168008739412,1
"US-EKH","SPEI_6","WUE_ET","5",1.0562047573896,1.0562047573896,1
"US-EKH","SPEI_6","WUE_ET","6",0.736972139544037,0.736972139544037,1
"US-EKH","SPEI_6","WUE_ET","7",0.857448352391795,0.857448352391795,1
"US-EKH","SPEI_6","WUE_ET","8",1.26470742027487,1.26470742027487,2
"US-EKH","SPEI_6","WUE_T","2",2.39272476158425,2.39272476158425,1
"US-EKH","SPEI_6","WUE_T","3",2.29468498314791,2.29468498314791,1
"US-EKH","SPEI_6","WUE_T","5",2.63625434577197,2.63625434577197,1
"US-EKH","SPEI_6","WUE_T","6",3.02006561209899,3.02006561209899,1
"US-EKH","SPEI_6","WUE_T","7",4.48556061072164,4.48556061072164,1
"US-EKH","SPEI_6","WUE_T","8",5.9938699240668,5.9938699240668,2
"US-EKH","SPEI_48","WUE_ET","2",0.955865365260242,0.955865365260242,1
"US-EKH","SPEI_48","WUE_ET","3",1.0592973289803,1.0592973289803,2
"US-EKH","SPEI_48","WUE_ET","4",1.44614831011018,1.44614831011018,1
"US-EKH","SPEI_48","WUE_ET","5",1.0562047573896,1.0562047573896,1
"US-EKH","SPEI_48","WUE_ET","6",1.04549117555988,1.04549117555988,2
"US-EKH","SPEI_48","WUE_ET","7",0.857448352391795,0.857448352391795,1
"US-EKH","SPEI_48","WUE_ET","8",1.26470742027487,1.26470742027487,2
"US-EKH","SPEI_48","WUE_T","2",2.39272476158425,2.39272476158425,1
"US-EKH","SPEI_48","WUE_T","3",2.1374898262377,2.1374898262377,2
"US-EKH","SPEI_48","WUE_T","4",3.36001084739166,3.36001084739166,1
"US-EKH","SPEI_48","WUE_T","5",2.63625434577197,2.63625434577197,1
"US-EKH","SPEI_48","WUE_T","6",4.57755886576218,4.57755886576218,2
"US-EKH","SPEI_48","WUE_T","7",4.48556061072164,4.48556061072164,1
"US-EKH","SPEI_48","WUE_T","8",5.9938699240668,5.9938699240668,2
"US-EKN","SPEI_6","WUE_ET","3",0.319764206083858,0.319764206083858,1
"US-EKN","SPEI_6","WUE_ET","4",0.212269640299238,0.212269640299238,1
"US-EKN","SPEI_6","WUE_ET","5",0.220499310150351,0.220499310150351,1
"US-EKN","SPEI_6","WUE_ET","6",0.215984848767664,0.215984848767664,1
"US-EKN","SPEI_6","WUE_ET","7",0.306173345933566,0.306173345933566,2
"US-EKN","SPEI_6","WUE_T","3",0.638075672447721,0.638075672447721,1
"US-EKN","SPEI_6","WUE_T","4",0.355500109442623,0.355500109442623,1
"US-EKN","SPEI_6","WUE_T","5",0.323730611051924,0.323730611051924,1
"US-EKN","SPEI_6","WUE_T","6",0.373809756758537,0.373809756758537,1
"US-EKN","SPEI_6","WUE_T","7",0.575200420772908,0.575200420772908,2
"US-EKN","SPEI_48","WUE_ET","3",0.319764206083858,0.319764206083858,1
"US-EKN","SPEI_48","WUE_ET","4",0.212269640299238,0.212269640299238,1
"US-EKN","SPEI_48","WUE_ET","5",0.220499310150351,0.220499310150351,1
"US-EKN","SPEI_48","WUE_ET","6",0.215984848767664,0.215984848767664,1
"US-EKN","SPEI_48","WUE_ET","7",0.306173345933566,0.306173345933566,2
"US-EKN","SPEI_48","WUE_T","3",0.638075672447721,0.638075672447721,1
"US-EKN","SPEI_48","WUE_T","4",0.355500109442623,0.355500109442623,1
"US-EKN","SPEI_48","WUE_T","5",0.323730611051924,0.323730611051924,1
"US-EKN","SPEI_48","WUE_T","6",0.373809756758537,0.373809756758537,1
"US-EKN","SPEI_48","WUE_T","7",0.575200420772908,0.575200420772908,2
"US-EKP","SPEI_6","WUE_ET","5",2.3908099052344,2.3908099052344,1
"US-EKP","SPEI_6","WUE_ET","6",3.17470662944519,3.17470662944519,1
"US-EKP","SPEI_6","WUE_ET","7",3.75490562946008,3.75490562946008,2
"US-EKP","SPEI_6","WUE_ET","8",3.23694342806965,3.23694342806965,2
"US-EKP","SPEI_6","WUE_ET","9",3.33506287594262,3.33506287594262,2
"US-EKP","SPEI_6","WUE_T","5",3.4899295971975,3.4899295971975,1
"US-EKP","SPEI_6","WUE_T","6",4.62722517852023,4.62722517852023,1
"US-EKP","SPEI_6","WUE_T","7",5.32766383502809,5.32766383502809,2
"US-EKP","SPEI_6","WUE_T","8",5.04197459690226,5.04197459690226,2
"US-EKP","SPEI_6","WUE_T","9",6.45116045748824,6.45116045748824,2
"US-EKP","SPEI_48","WUE_ET","5",2.3908099052344,2.3908099052344,1
"US-EKP","SPEI_48","WUE_ET","6",3.23392327489535,3.23392327489535,2
"US-EKP","SPEI_48","WUE_ET","7",3.75490562946008,3.75490562946008,2
"US-EKP","SPEI_48","WUE_ET","8",3.23694342806965,3.23694342806965,2
"US-EKP","SPEI_48","WUE_ET","9",3.33506287594262,3.33506287594262,2
"US-EKP","SPEI_48","WUE_T","5",3.4899295971975,3.4899295971975,1
"US-EKP","SPEI_48","WUE_T","6",4.96755381019478,4.96755381019478,2
"US-EKP","SPEI_48","WUE_T","7",5.32766383502809,5.32766383502809,2
"US-EKP","SPEI_48","WUE_T","8",5.04197459690226,5.04197459690226,2
"US-EKP","SPEI_48","WUE_T","9",6.45116045748824,6.45116045748824,2
"US-Elm","SPEI_6","WUE_ET","3",0.272949043740391,0.299161843969708,4
"US-Elm","SPEI_6","WUE_ET","4",0.316985131868395,0.333523457204391,7
"US-Elm","SPEI_6","WUE_ET","5",0.256139047054459,0.254108497067284,6
"US-Elm","SPEI_6","WUE_ET","6",0.250500066222492,0.275342573531938,7
"US-Elm","SPEI_6","WUE_ET","7",0.159398514197371,0.1538954490316,6
"US-Elm","SPEI_6","WUE_T","3",0.623084377400553,0.69670007777842,4
"US-Elm","SPEI_6","WUE_T","4",0.629308125904633,0.647205954052318,7
"US-Elm","SPEI_6","WUE_T","5",0.521874461590999,0.472650165023507,6
"US-Elm","SPEI_6","WUE_T","6",0.55851636073455,0.52707000473766,7
"US-Elm","SPEI_6","WUE_T","7",0.349483056887846,0.337979915038795,6
"US-Elm","SPEI_48","WUE_ET","3",0.292687639002012,0.32459571846274,5
"US-Elm","SPEI_48","WUE_ET","4",0.306492508020749,0.333523457204391,5
"US-Elm","SPEI_48","WUE_ET","5",0.330325017904391,0.31363792843214,5
"US-Elm","SPEI_48","WUE_ET","6",0.316624960673954,0.305994026741565,6
"US-Elm","SPEI_48","WUE_ET","7",0.180941353409127,0.175292406297686,5
"US-Elm","SPEI_48","WUE_T","3",0.662741420705631,0.797373720033258,5
"US-Elm","SPEI_48","WUE_T","4",0.640374511634958,0.647205954052318,5
"US-Elm","SPEI_48","WUE_T","5",0.645224838347972,0.557702970676187,5
"US-Elm","SPEI_48","WUE_T","6",0.724830048647362,0.7236015899196,6
"US-Elm","SPEI_48","WUE_T","7",0.404935887941052,0.371755922553955,5
"US-Esm","SPEI_6","WUE_ET","1",0.0280518829802515,0.0299428825100559,3
"US-Esm","SPEI_6","WUE_ET","2",0.405148335023501,0.421907535700133,3
"US-Esm","SPEI_6","WUE_ET","3",0.366708848199199,0.381993877755409,5
"US-Esm","SPEI_6","WUE_ET","4",0.350661984480398,0.329012676409888,5
