"threshold_pct","timescale","anomaly_class","metric","water_class","n_months","n_sites","pct_decrease","mean_response_pct","median_response_pct"
10,"SPEI_6","Wet","WUE_T","Upland",110,21,60,-4.40690902685175,-15.0885994259236
20,"SPEI_48","Dry","WUE_ET","Freshwater",99,9,53.5353535353535,-29.4268363230044,-25.0108735371855
20,"SPEI_48","Dry","WUE_ET","Saline",96,8,80.2083333333333,-38.5203257726338,-41.4699613768749
20,"SPEI_48","Dry","WUE_ET","Upland",105,15,16.1904761904762,12.2478410143782,4.24011297953954
20,"SPEI_48","Dry","WUE_T","Freshwater",99,9,61.6161616161616,-31.1932063195777,-29.6666218478118
20,"SPEI_48","Dry","WUE_T","Saline",96,8,68.75,-30.277462534525,-38.1708566218874
20,"SPEI_48","Dry","WUE_T","Upland",105,15,35.2380952380952,23.3541833229602,4.31953094764462
20,"SPEI_48","Wet","WUE_ET","Freshwater",208,15,35.0961538461538,-9.68694756187268,-6.16689049257658
20,"SPEI_48","Wet","WUE_ET","Saline",97,8,41.2371134020619,-2.82035208134035,-13.6430480141714
20,"SPEI_48","Wet","WUE_ET","Upland",128,12,26.5625,-9.60842782641638,-0.380909185970695
20,"SPEI_48","Wet","WUE_T","Freshwater",208,15,38.4615384615385,-1.55063079376632,-10.3807783609625
20,"SPEI_48","Wet","WUE_T","Saline",97,8,46.3917525773196,31.4333150688686,-6.27874706633292
20,"SPEI_48","Wet","WUE_T","Upland",128,12,42.96875,-12.2950158235103,-13.5040962180979
20,"SPEI_6","Dry","WUE_ET","Freshwater",98,12,27.5510204081633,-2.55654667307637,3.68609651649796
20,"SPEI_6","Dry","WUE_ET","Saline",91,13,52.7472527472528,-10.2993625442062,-23.2343963642539
20,"SPEI_6","Dry","WUE_ET","Upland",148,23,31.7567567567568,3.796875990611,-2.50748224845235
20,"SPEI_6","Dry","WUE_T","Freshwater",98,12,28.5714285714286,-4.38758645271898,-3.41690386609747
20,"SPEI_6","Dry","WUE_T","Saline",91,13,49.4505494505495,-5.77180360456611,-18.6993145554861
20,"SPEI_6","Dry","WUE_T","Upland",148,23,43.2432432432432,7.92474208017228,-11.5695559496226
20,"SPEI_6","Wet","WUE_ET","Freshwater",165,19,30.3030303030303,-1.77908089565042,1.32871618442224
20,"SPEI_6","Wet","WUE_ET","Saline",73,13,32.8767123287671,11.1386433484691,-6.77917321162366
20,"SPEI_6","Wet","WUE_ET","Upland",110,21,25.4545454545455,-3.23949895513132,-1.71334876608722
20,"SPEI_6","Wet","WUE_T","Freshwater",165,19,33.9393939393939,14.2374898425929,-1.81474227784425
20,"SPEI_6","Wet","WUE_T","Saline",73,13,47.945205479452,17.4897084237905,-17.2370435301368
20,"SPEI_6","Wet","WUE_T","Upland",110,21,41.8181818181818,-4.40690902685175,-15.0885994259236
