"threshold","timescale","anomaly_class","metric","n_months","n_sites","mean_response","mean_abs_response","pct_decrease"
1.5,"SPEI_6","Wet","WUE_ET",133,34,0.038207674526448,0.639281215752849,49.6240601503759
1.5,"SPEI_6","Wet","WUE_T",133,34,0.528200861961649,1.86075903886514,56.390977443609
1.5,"SPEI_48","Dry","WUE_ET",151,23,-0.254237237988651,0.721082858715623,68.8741721854305
1.5,"SPEI_48","Dry","WUE_T",151,23,-0.0133462119026229,1.63865726520184,59.6026490066225
1.5,"SPEI_48","Near-normal","WUE_ET",1509,62,6.06245044593193e-17,0.820971969704873,54.0755467196819
1.5,"SPEI_48","Near-normal","WUE_T",1509,62,1.17717484387028e-17,1.90395596491196,64.546056991385
1.5,"SPEI_48","Wet","WUE_ET",187,26,-0.0907096954871544,0.576146748127571,48.6631016042781
1.5,"SPEI_48","Wet","WUE_T",187,26,0.231617572400439,1.6180742929586,52.9411764705882
2,"SPEI_6","Dry","WUE_ET",43,22,-0.0241467726726275,0.625129865032891,53.4883720930233
2,"SPEI_6","Dry","WUE_T",43,22,0.130174373346673,1.37759853779371,48.8372093023256
2,"SPEI_6","Near-normal","WUE_ET",1785,64,4.67724209814072e-17,0.789738083432342,53.6694677871148
2,"SPEI_6","Near-normal","WUE_T",1785,64,-1.99031578644286e-18,1.87098531511561,63.4733893557423
2,"SPEI_6","Wet","WUE_ET",19,10,0.377705167835175,0.655713281192206,31.578947368421
2,"SPEI_6","Wet","WUE_T",19,10,0.965395170299381,1.6566017190834,36.8421052631579
2,"SPEI_48","Dry","WUE_ET",76,14,-0.258481966085687,0.695802227502003,64.4736842105263
2,"SPEI_48","Dry","WUE_T",76,14,-0.125501603842225,1.26498530752354,59.2105263157895
2,"SPEI_48","Near-normal","WUE_ET",1751,63,-1.26810168432342e-17,0.785963687068697,53.7407195888064
2,"SPEI_48","Near-normal","WUE_T",1751,63,-4.2608216593267e-17,1.87496214591665,63.7350085665334
2,"SPEI_48","Wet","WUE_ET",20,6,-0.305403478911674,1.1737773261211,50
2,"SPEI_48","Wet","WUE_T",20,6,-0.0995827614801625,2.99773317714533,40
