"site_name","Year","month","water_class","timescale","anomaly_class","SPEI_value","metric","WUE_value","baseline_mean","WUE_response","WUE_response_magnitude","response_direction","wue_fitted","wue_residual"
"US-Myb",2011,9,"Freshwater","SPEI_6","Wet",1.32717371882805,"WUE_ET",1.30650021846877,1.51487877576706,-0.208378557298285,0.208378557298285,"Decrease",1.49081558138725,-0.18431536291848
"US-Myb",2011,10,"Freshwater","SPEI_6","Wet",1.80196193494131,"WUE_ET",1.38167374589778,1.39857808178219,-0.0169043358844123,0.0169043358844123,"Decrease",1.59100918945697,-0.209335443559186
"US-Myb",2012,5,"Freshwater","SPEI_6","Dry",-1.24223178267718,"WUE_ET",1.35575812251026,1.62975574812013,-0.27399762560987,0.27399762560987,"Decrease",1.85954277927351,-0.503784656763246
"US-Myb",2012,6,"Freshwater","SPEI_6","Near-normal",-0.429586591062686,"WUE_ET",1.30605614607231,1.6048996094014,-0.29884346332909,0.29884346332909,"Decrease",1.25300330848655,0.0530528375857635
"US-Myb",2012,7,"Freshwater","SPEI_6","Near-normal",-0.290361184325006,"WUE_ET",1.47665935218721,1.57940506935218,-0.102745717164968,0.102745717164968,"Decrease",1.41264710276532,0.0640122494218938
"US-Myb",2012,8,"Freshwater","SPEI_6","Near-normal",0.308110512247307,"WUE_ET",1.6787482593248,1.64649404108996,0.0322542182348444,0.0322542182348444,"Increase_or_no_decrease",1.59651298325623,0.0822352760685787
"US-Myb",2012,10,"Freshwater","SPEI_6","Near-normal",-0.321799663406422,"WUE_ET",1.90768426377117,1.39857808178219,0.509106181988975,0.509106181988975,"Increase_or_no_decrease",1.57904830513771,0.328635958633454
"US-Myb",2013,5,"Freshwater","SPEI_6","Dry",-1.76099492260271,"WUE_ET",1.40093239410948,1.62975574812013,-0.228823354010651,0.228823354010651,"Decrease",1.8763396818354,-0.475407287725916
"US-Myb",2013,6,"Freshwater","SPEI_6","Dry",-2.41303297629267,"WUE_ET",1.49208976246675,1.6048996094014,-0.112809846934655,0.112809846934655,"Decrease",1.49329645188303,-0.00120668941628632
"US-Myb",2013,7,"Freshwater","SPEI_6","Dry",-1.92354133642402,"WUE_ET",1.66219364435709,1.57940506935218,0.0827885750049151,0.0827885750049151,"Increase_or_no_decrease",1.55724289453715,0.104950749819941
"US-Myb",2013,8,"Freshwater","SPEI_6","Dry",-1.3691934554144,"WUE_ET",1.47750734295795,1.64649404108996,-0.168986698132016,0.168986698132016,"Decrease",1.70700818246891,-0.229500839510969
"US-Myb",2013,9,"Freshwater","SPEI_6","Dry",-1.1004113465267,"WUE_ET",1.60029644396396,1.51487877576706,0.0854176681968988,0.0854176681968988,"Increase_or_no_decrease",1.57761910317685,0.022677340787107
"US-Myb",2013,10,"Freshwater","SPEI_6","Near-normal",-0.766982851958004,"WUE_ET",1.46327776109601,1.39857808178219,0.0646996793138193,0.0646996793138193,"Increase_or_no_decrease",1.77159684643093,-0.308319085334918
"US-Myb",2014,5,"Freshwater","SPEI_6","Dry",-2.19694439354092,"WUE_ET",1.4238303333692,1.62975574812013,-0.205925414750937,0.205925414750937,"Decrease",1.90266409998335,-0.478833766614155
"US-Myb",2014,6,"Freshwater","SPEI_6","Dry",-1.11565177962972,"WUE_ET",1.71078193957468,1.6048996094014,0.105882330173282,0.105882330173282,"Increase_or_no_decrease",1.48083241810745,0.229949521467237
"US-Myb",2014,7,"Freshwater","SPEI_6","Near-normal",-0.573577102150616,"WUE_ET",1.38535328043097,1.57940506935218,-0.194051788921211,0.194051788921211,"Decrease",1.64551757455392,-0.260164294122956
"US-Myb",2014,8,"Freshwater","SPEI_6","Near-normal",-0.85587774800166,"WUE_ET",1.13181840282853,1.64649404108996,-0.514675638261427,0.514675638261427,"Decrease",1.85303796019003,-0.7212195573615
"US-Myb",2014,9,"Freshwater","SPEI_6","Near-normal",-0.755993647998173,"WUE_ET",1.18484045285804,1.51487877576706,-0.330038322909015,0.330038322909015,"Decrease",1.803727829959,-0.618887377100959
"US-Myb",2014,10,"Freshwater","SPEI_6","Near-normal",-0.776488016995721,"WUE_ET",0.692400477966923,1.39857808178219,-0.70617760381527,0.70617760381527,"Decrease",2.31551906245677,-1.62311858448984
"US-Myb",2015,5,"Freshwater","SPEI_6","Near-normal",-0.230044923258441,"WUE_ET",1.15385464514087,1.62975574812013,-0.475901102979267,0.475901102979267,"Decrease",1.76265853954756,-0.608803894406693
