"site_name","water_class","coast_region","SPEI_timescale","month_f","baseline_WUE_T","baseline_sd_WUE_T","baseline_n"
"US-Ced","Upland","Atlantic Coast","SPEI_1","9",3.05428200298554,0.448541671824233,4
"US-Ced","Upland","Atlantic Coast","SPEI_1","10",3.46140385141248,0.571465292958455,8
"US-Ced","Upland","Atlantic Coast","SPEI_3","4",3.47405242374433,NA,1
"US-Ced","Upland","Atlantic Coast","SPEI_3","5",3.1525640633913,0.245137460892412,4
"US-Ced","Upland","Atlantic Coast","SPEI_3","6",3.44880683747158,0.661811226807389,5
"US-Ced","Upland","Atlantic Coast","SPEI_3","7",3.03223939743157,0.237601961031881,7
"US-Ced","Upland","Atlantic Coast","SPEI_3","8",3.11879348985985,0.254759559041359,4
"US-Ced","Upland","Atlantic Coast","SPEI_3","9",3.17068930142754,0.36662448157567,7
"US-Ced","Upland","Atlantic Coast","SPEI_3","10",3.4679647361737,0.605671607457823,7
"US-Ced","Upland","Atlantic Coast","SPEI_6","4",3.51800564652626,0.6417470097372,3
"US-Ced","Upland","Atlantic Coast","SPEI_6","5",3.20564794007427,0.270612590832373,3
"US-Ced","Upland","Atlantic Coast","SPEI_6","6",3.47117034743103,0.620099999394509,7
"US-Ced","Upland","Atlantic Coast","SPEI_6","7",2.98501663396338,0.244715321968845,8
"US-Ced","Upland","Atlantic Coast","SPEI_6","8",3.44446134574676,0.604268407564227,4
"US-Ced","Upland","Atlantic Coast","SPEI_6","9",3.11320307586876,0.365427170726528,6
"US-Ced","Upland","Atlantic Coast","SPEI_6","10",3.46288931898164,0.663316917073125,6
"US-Ced","Upland","Atlantic Coast","SPEI_12","4",3.51800564652626,0.6417470097372,3
"US-Ced","Upland","Atlantic Coast","SPEI_12","5",3.24189220127934,0.291490758245121,5
"US-Ced","Upland","Atlantic Coast","SPEI_12","6",3.30943376563882,0.44074132545618,7
"US-Ced","Upland","Atlantic Coast","SPEI_12","7",2.97433769774632,0.239620126323138,9
"US-Ced","Upland","Atlantic Coast","SPEI_12","8",3.19375108901265,0.545992217586267,9
"US-Ced","Upland","Atlantic Coast","SPEI_12","9",3.29267899941152,0.484007718672252,8
"US-Ced","Upland","Atlantic Coast","SPEI_12","10",3.4767224384752,0.662994311860968,6
"US-Ced","Upland","Atlantic Coast","SPEI_24","4",3.51800564652626,0.6417470097372,3
"US-Ced","Upland","Atlantic Coast","SPEI_24","5",3.24189220127934,0.291490758245121,5
"US-Ced","Upland","Atlantic Coast","SPEI_24","6",3.45495588868117,0.639246960870373,7
"US-Ced","Upland","Atlantic Coast","SPEI_24","7",2.9737856087134,0.268173248880156,7
"US-Ced","Upland","Atlantic Coast","SPEI_24","8",3.12465080388449,0.620779757662064,9
"US-Ced","Upland","Atlantic Coast","SPEI_24","9",3.31797121804065,0.517046308055341,7
