"site_name","water_class","coast_region","SPEI_timescale","n_months","baseline_WUE_T","mean_abs_pct_change","max_abs_pct_change","pct_months_decrease_10","pct_months_increase_10","pct_months_impacted_10","dry_threshold_observed","wet_threshold_observed"
"US-SO3","Upland","Gulf Coast","SPEI_3",23,2.5261884510128,94.0603611196583,333.155375565083,30.4347826086957,60.8695652173913,91.304347826087,NA,1.21700514394568
"US-Slt","Upland","Atlantic Coast","SPEI_3",85,2.04410376828027,81.5761107745706,348.949460539116,42.3529411764706,54.1176470588235,96.4705882352941,-1.01437313610733,1.00969927360623
"US-Atq","Freshwater","AK Coast","SPEI_3",26,1.06940827636576,72.3874833811081,170.724833062378,65.3846153846154,30.7692307692308,96.1538461538462,-1.03806420835508,1.08511633336626
"US-Sne","Freshwater","Pacific Coast","SPEI_3",20,1.78203602894828,58.4175897600911,148.601044511267,65,25,90,NA,1.15822365414645
"US-Esm","Freshwater","Atlantic Coast","SPEI_3",50,0.67933609773817,55.4655382037877,188.445794872083,48,46,94,-1.18589558429471,1.03064389510543
"US-Cms","Upland","AK Coast","SPEI_3",19,0.940563717558813,52.497073839278,333.680838826718,47.3684210526316,42.1052631578947,89.4736842105263,NA,1.06594279044321
"US-xBA","Freshwater","AK Coast","SPEI_3",18,3.87656419112593,45.7590917312811,154.179433882294,44.4444444444444,38.8888888888889,83.3333333333333,NA,1.20470792958379
"US-Brw","Upland","AK Coast","SPEI_3",25,2.52733030371725,43.6167456443174,242.127895103129,44,28,72,-1.0219313017142,1.06594279044321
"US-SCg","Upland","Gulf Coast","SPEI_3",32,7.21861057383995,43.5175369548923,164.058578513564,43.75,43.75,87.5,-1.47829451665138,NA
"US-SO2","Upland","Gulf Coast","SPEI_3",25,3.56779304649185,41.5472370088201,251.345441222633,48,40,88,NA,1.08976213313092
"US-GCE","Saline","Atlantic Coast","SPEI_3",3,1.2969657149168,41.2006722716819,61.8010084075229,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-CGG","Upland","Pacific Coast","SPEI_3",6,10.7604537742914,40.1052861760468,73.9656131779639,66.6666666666667,16.6666666666667,83.3333333333333,NA,1.03295071579238
"US-SO4","Upland","Gulf Coast","SPEI_3",3,10.9332712261188,38.3001327056374,57.4501990584561,66.6666666666667,33.3333333333333,100,NA,NA
"US-SCs","Upland","Gulf Coast","SPEI_3",15,8.02413634685593,37.1215696706764,77.9102625858922,46.6666666666667,40,86.6666666666667,NA,NA
"US-xSE","Upland","Atlantic Coast","SPEI_3",45,5.65140723814583,35.9626522719046,93.2844660500737,46.6666666666667,44.4444444444444,91.1111111111111,-1.27662712480087,1.01697808769656
"US-Twt","Upland","Pacific Coast","SPEI_3",32,1.21100853260187,35.7202857397057,313.248822784739,25,43.75,68.75,NA,1.46200907828204
"US-A10","Saline","AK Coast","SPEI_3",31,3.58269131789424,34.5227022008388,97.2558668378,38.7096774193548,38.7096774193548,77.4193548387097,-1.06670657622712,1.08998813280045
"US-Elm","Freshwater","Atlantic Coast","SPEI_3",43,0.611277990790758,29.6802944722115,121.825593533061,27.906976744186,44.1860465116279,72.093023255814,-1.5215943850688,1.08708235831315
"US-LA2","Freshwater","Atlantic Coast","SPEI_3",22,3.13268608538705,28.9833804421308,77.2213550227958,54.5454545454545,27.2727272727273,81.8181818181818,-1.15494768583028,1.96617950189129
"US-KS2","Upland","Atlantic Coast","SPEI_3",47,3.65311707411938,28.0080400272775,81.8978488342364,48.936170212766,31.9148936170213,80.8510638297872,-1.00621215390555,1.5841361139129
"US-KS4","Saline","Atlantic Coast","SPEI_3",21,6.61070220065653,25.5645068884587,120.702523951202,38.0952380952381,33.3333333333333,71.4285714285714,NA,1.2487569307164
"US-xSB","Upland","Atlantic Coast","SPEI_3",39,6.43298328778314,25.4621617468284,94.7864169269261,41.025641025641,30.7692307692308,71.7948717948718,-1.01860803982098,1.11537832953886
"US-EDN","Saline","Pacific Coast","SPEI_3",28,1.80870429550779,22.7766518598222,72.3265771739657,46.4285714285714,28.5714285714286,75,-1.20081299359175,1.18494894727404
"US-NGC","Upland","AK Coast","SPEI_3",17,5.34962274274697,21.0230892018479,50.8526466510975,41.1764705882353,41.1764705882353,82.3529411764706,-1.58252896284523,2.59224523535878
"US-A03","Saline","AK Coast","SPEI_3",18,3.47520206277368,19.9599246829456,60.3622361062566,33.3333333333333,33.3333333333333,66.6666666666667,NA,1.0366895449848
"US-NC4","Freshwater","Atlantic Coast","SPEI_3",78,2.73233301947502,19.9384963034945,69.9367375707906,46.1538461538462,29.4871794871795,75.6410256410256,-1.14922722639939,1.01543869645811
"US-MRf","Upland","Pacific Coast","SPEI_3",41,10.8314260692288,19.2724145262337,61.3669732904148,26.8292682926829,34.1463414634146,60.9756097560976,-1.04909187766502,1.04210366638433
"US-Skr","Saline","Atlantic Coast","SPEI_3",95,2.92422037676777,18.9300732136204,78.9290959566356,42.1052631578947,24.2105263157895,66.3157894736842,-1.00287222967309,1.13803509520344
"US-Snd","Upland","Pacific Coast","SPEI_3",55,3.55052877984554,17.7127240516714,65.3679933066407,34.5454545454545,23.6363636363636,58.1818181818182,-1.11149460472264,1.04021358848069
"US-TaS","Saline","Atlantic Coast","SPEI_3",12,3.38439080019121,17.0390811757007,52.1192930227819,33.3333333333333,33.3333333333333,66.6666666666667,-1.94970725766967,NA
"US-HB1","Saline","Atlantic Coast","SPEI_3",47,1.48496335032394,16.8587893336886,72.4545402857294,25.531914893617,29.7872340425532,55.3191489361702,NA,1.25527568405475
"US-HB2","Upland","Atlantic Coast","SPEI_3",48,3.49574534942973,16.3933517874097,66.76022773313,27.0833333333333,31.25,58.3333333333333,-1.0373162079909,1.25631481963218
"US-Dix","Upland","Atlantic Coast","SPEI_3",3,3.6966192845896,16.0577024342201,24.0865536513302,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-Tw4","Freshwater","Pacific Coast","SPEI_3",60,2.96817952667714,14.6048261664448,79.5815862779549,26.6666666666667,25,51.6666666666667,-1.30847890900795,1.17317554525955
"US-ONA","Upland","Atlantic Coast","SPEI_3",39,4.61423376004942,13.8387777134691,44.5968269074171,23.0769230769231,25.6410256410256,48.7179487179487,-1.01668026141818,1.39340687685847
"US-RRC","Freshwater","Atlantic Coast","SPEI_3",19,2.05642654160222,13.1015678560946,24.8300903187361,31.578947368421,31.578947368421,63.1578947368421,NA,NA
"US-StJ","Saline","Atlantic Coast","SPEI_3",30,6.52046128272048,12.5917699908027,48.0174002572819,20,30,50,NA,NA
"US-Myb","Freshwater","Pacific Coast","SPEI_3",82,2.72462493825096,12.1316441144797,33.5159123261932,23.1707317073171,26.8292682926829,50,-1.63559832501341,1.17317554525955
"US-MCP","Freshwater","Pacific Coast","SPEI_3",3,9.11762084067655,11.7210154729971,17.5815232094956,33.3333333333333,0,33.3333333333333,NA,NA
"US-Tw1","Freshwater","Pacific Coast","SPEI_3",61,2.96591166313312,11.336845945024,40.2218853383424,19.672131147541,26.2295081967213,45.9016393442623,-1.30847890900795,NA
"US-Ced","Upland","Atlantic Coast","SPEI_3",54,3.03223939743157,10.9737890165852,37.0614179029337,24.0740740740741,20.3703703703704,44.4444444444444,-1.27342617911823,1.1416529990399
"US-Tw3","Freshwater","Pacific Coast","SPEI_3",26,3.36077971622731,10.5810256593522,28.3693159316776,19.2307692307692,23.0769230769231,42.3076923076923,-1.01826996879734,NA
"US-LA3","Saline","Atlantic Coast","SPEI_3",7,4.08107956338784,10.4487653914485,18.4913495592937,14.2857142857143,42.8571428571429,57.1428571428571,NA,NA
"US-PHM","Saline","Atlantic Coast","SPEI_3",29,2.52336955053011,9.59113932595488,27.3015100599446,20.6896551724138,13.7931034482759,34.4827586206897,-1.38185117712788,NA
"US-HB3","Upland","Atlantic Coast","SPEI_3",40,4.38996565814316,8.24423963603946,25.0528425244273,15,12.5,27.5,-1.0373162079909,1.25631481963218
"US-Dmg","Freshwater","Pacific Coast","SPEI_3",12,2.25505363893901,3.4387403083764,6.99141660756495,0,0,0,NA,NA
"US-Slt","Upland","Atlantic Coast","SPEI_6",85,1.63311826211676,78.4766640713622,230.618559684774,42.3529411764706,56.4705882352941,98.8235294117647,NA,1.00089758621234
"US-Atq","Freshwater","AK Coast","SPEI_6",26,0.991919694982439,72.9974289466458,170.724833062378,65.3846153846154,30.7692307692308,96.1538461538462,NA,1.11626585131927
"US-SO3","Upland","Gulf Coast","SPEI_6",23,2.5261884510128,71.3194791836316,278.998340659689,52.1739130434783,43.4782608695652,95.6521739130435,NA,1.25780705555042
"US-A10","Saline","AK Coast","SPEI_6",31,1.66718676017531,58.7272875033176,323.891850874089,35.4838709677419,45.1612903225806,80.6451612903226,NA,1.18773637480628
"US-Cms","Upland","AK Coast","SPEI_6",19,0.795404496546701,58.414282445899,412.826447137054,47.3684210526316,42.1052631578947,89.4736842105263,-1.20518750001313,NA
"US-Esm","Freshwater","Atlantic Coast","SPEI_6",50,0.511776753996865,56.2606497138107,282.884996567441,48,42,90,-1.21597378222907,1.24303690436036
"US-xSE","Upland","Atlantic Coast","SPEI_6",45,4.23523907490284,44.8459833263122,134.201053647005,35.5555555555556,53.3333333333333,88.8888888888889,NA,1.01491045085978
"US-Brw","Upland","AK Coast","SPEI_6",25,2.39568220211793,42.3281156690146,163.922868569682,48,36,84,-1.09069210450577,NA
"US-SCg","Upland","Gulf Coast","SPEI_6",32,8.3228444806686,41.8668203207714,129.024590258598,46.875,40.625,87.5,-1.07569165212371,1.0895327831212
"US-SO2","Upland","Gulf Coast","SPEI_6",25,5.63933839704006,37.6431065479226,122.282781038404,64,24,88,-1.20684011683192,1.25780705555042
"US-SCs","Upland","Gulf Coast","SPEI_6",15,8.96464522916038,35.7113165351136,77.9102625858922,53.3333333333333,33.3333333333333,86.6666666666667,NA,NA
"US-xBA","Freshwater","AK Coast","SPEI_6",13,6.26636627557585,31.4523872088454,64.637465629609,38.4615384615385,23.0769230769231,61.5384615384615,NA,1.23121369854371
"US-KS4","Saline","Atlantic Coast","SPEI_6",23,6.92164880097965,30.9188234003618,110.787733201396,39.1304347826087,39.1304347826087,78.2608695652174,NA,1.33983176035268
"US-Twt","Upland","Pacific Coast","SPEI_6",32,1.39563404255576,30.5606285903783,258.580999904206,28.125,34.375,62.5,-1.08590644293248,NA
"US-KS2","Upland","Atlantic Coast","SPEI_6",47,3.65311707411938,29.346863804621,81.8978488342364,48.936170212766,38.2978723404255,87.2340425531915,-1.16704634713927,NA
"US-Elm","Freshwater","Atlantic Coast","SPEI_6",43,0.623084377400553,27.2298091420444,93.9336119520404,30.2325581395349,34.8837209302326,65.1162790697674,-1.42707026808921,1.23663926975197
"US-LA2","Freshwater","Atlantic Coast","SPEI_6",24,5.03172053222928,26.1092718348529,52.5258244854615,58.3333333333333,25,83.3333333333333,-1.36832060862172,1.96263629635774
"US-EDN","Saline","Pacific Coast","SPEI_6",26,1.43733436081059,24.8810627884407,101.643566144779,23.0769230769231,50,73.0769230769231,-1.32481951278725,1.0522916629737
"US-NGC","Upland","AK Coast","SPEI_6",7,6.35797892188534,24.6870001191859,45.8648573212406,42.8571428571429,42.8571428571429,85.7142857142857,-1.32477318890989,NA
"US-xSB","Upland","Atlantic Coast","SPEI_6",28,6.30576086554914,24.086398645504,77.8232123052267,42.8571428571429,32.1428571428571,75,-3.39240376123629,NA
"US-A03","Saline","AK Coast","SPEI_6",18,3.7290252172782,20.7819132442334,61.1855055574133,38.8888888888889,27.7777777777778,66.6666666666667,-1.57829716351308,NA
"US-NC4","Freshwater","Atlantic Coast","SPEI_6",78,2.65788495284332,19.529958774438,74.6967109279175,41.025641025641,29.4871794871795,70.5128205128205,-1.0521823029002,1.03021667347149
