"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-Fo2","Freshwater","AK Coast","SPEI_48",4,-1.00798394272033,-0.00919563412256775,14.5028696894443
"US-GCE","Saline","Atlantic Coast","SPEI_1",25,0.0449404763186709,0.119210291089385,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_3",25,0.08138994381682,0.183152525097524,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_6",25,0.270354114927847,0.370753764633925,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_12",25,0.13009788763254,0.113266805698433,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_24",25,0.328827694523862,0.177691232968765,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_36",25,0.216721973749748,0.255803966372004,1.15393651104453
"US-GCE","Saline","Atlantic Coast","SPEI_48",25,0.00281355779638479,0.00582556496169974,1.15393651104453
"US-HB1","Saline","Atlantic Coast","SPEI_1",47,0.0847081766142576,0.182122227933396,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_3",47,0.135664629084552,0.235788545365275,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_6",47,0.154609599979518,0.25918726777818,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_12",47,0.109358606069505,0.185892958021847,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_24",47,0.228625318085081,0.41335575550439,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_36",47,0.255959070622226,0.382394413254009,1.96579901340937
"US-HB1","Saline","Atlantic Coast","SPEI_48",47,0.471590272915975,0.367974043324032,1.96579901340937
"US-HB2","Upland","Atlantic Coast","SPEI_1",48,-0.130295592987168,-0.156867168274242,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_3",48,-0.0294471026567704,-0.0319200745647667,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_6",48,0.300200789803077,0.30607010955089,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_12",48,0.48555722312006,0.511881019793903,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_24",48,0.534768340886374,0.600203332960585,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_36",48,0.444837682721792,0.422258145918454,3.8387183434008
"US-HB2","Upland","Atlantic Coast","SPEI_48",48,0.53517816464847,0.254108280108536,3.8387183434008
"US-HB3","Upland","Atlantic Coast","SPEI_1",40,-0.158229882995311,-0.280600366807329,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_3",40,-0.0823411169784296,-0.129539475839142,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_6",40,0.0791246099061644,0.110888367344442,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_12",40,0.069342605743642,0.100323205226105,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_24",40,0.129036116148721,0.208106588608451,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_36",40,0.162367735242636,0.220344988039843,4.09417543757291
"US-HB3","Upland","Atlantic Coast","SPEI_48",40,0.032960711219867,0.0233199960243089,4.09417543757291
"US-KPL","Freshwater","AK Coast","SPEI_1",10,1.02987769732333,0.588253357119262,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_3",10,0.530931960867974,0.47494394820757,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_6",10,0.663547509136821,0.267726052570302,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_12",10,0.545690489172148,0.301875767893691,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_24",10,0.254539462195711,0.129114576754311,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_36",10,0.467078823946797,0.211568687849581,5.8829385157076
"US-KPL","Freshwater","AK Coast","SPEI_48",10,0.654223582851508,0.275929204269281,5.8829385157076
"US-KS1","Upland","Atlantic Coast","SPEI_1",8,1.20729424533803,0.699197954230232,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_3",8,0.110658575858864,0.0583496991792242,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_6",8,1.41778341600079,0.3927246982997,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_12",8,0.421284280584634,0.179346737281252,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_24",8,-0.1397337367715,-0.0372989305691887,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_36",8,-0.101607796792669,-0.0243675912253631,3.99344949978075
"US-KS1","Upland","Atlantic Coast","SPEI_48",8,1.58578171239941,0.336862667798892,3.99344949978075
"US-KS2","Upland","Atlantic Coast","SPEI_1",47,-0.0393501689583939,-0.0310628524434195,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_3",47,0.151764275729516,0.116793921858164,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_6",47,0.224342333997253,0.182366957661045,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_12",47,0.546936925930859,0.351808072608356,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_24",47,-0.247881709823491,-0.124774928411829,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_36",47,-0.331830982891107,-0.163700577840294,3.26788452696273
"US-KS2","Upland","Atlantic Coast","SPEI_48",47,-1.0339481488993,-0.480402778375814,3.26788452696273
"US-KS3","Saline","Atlantic Coast","SPEI_1",6,-0.416317717656599,-0.783894792270727,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_3",6,-0.38236163115282,-0.769873630905194,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_6",6,-0.0414484528353237,-0.0179337407921548,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_12",6,-0.955070987513105,-0.78535570210118,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_24",6,-0.89852826652713,-0.350555717817556,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_36",6,-2.66909156969335,-0.806756735115981,2.32239731742036
"US-KS3","Saline","Atlantic Coast","SPEI_48",6,-2.8332080533115,-0.62980010603608,2.32239731742036
"US-KS4","Saline","Atlantic Coast","SPEI_1",33,-1.517449793542,-0.463149069867537,8.02057474683842
"US-KS4","Saline","Atlantic Coast","SPEI_3",33,-1.35554643598315,-0.433641030195179,8.02057474683842
"US-KS4","Saline","Atlantic Coast","SPEI_6",33,-0.817150901194738,-0.221126925175817,8.02057474683842
"US-KS4","Saline","Atlantic Coast","SPEI_12",33,-1.22101870190941,-0.240989270808356,8.02057474683842
"US-KS4","Saline","Atlantic Coast","SPEI_24",33,1.04605950609452,0.133614117169391,8.02057474683842
"US-KS4","Saline","Atlantic Coast","SPEI_36",33,2.77643987893711,0.292146665843963,8.02057474683842
