"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","WUE_difference","smooth_fitted","smooth_residual"
"US-CAK",2025,7,"Upland","WUE_ET_minus_WUE_T",0.456217342467803,-0.565119814536781,-3.5225051294447,-2.18755677588452,-1.33494835356018
"US-Ced",2005,7,"Upland","WUE_ET_minus_WUE_T",0.802228998179999,1.40739309897267,-0.540400972343352,-0.523063771447635,-0.0173372008957167
"US-Ced",2006,4,"Upland","WUE_ET_minus_WUE_T",0.605479875964593,0.285782951208334,-1.25295265246155,-1.56946104292088,0.316508390459333
"US-Ced",2006,5,"Upland","WUE_ET_minus_WUE_T",0.754466540884372,1.13511306955386,-0.609657331911531,-0.793617799016105,0.183960467104574
"US-Ced",2006,6,"Upland","WUE_ET_minus_WUE_T",0.788444298384698,1.3288104908258,-0.741342057999032,-0.414532950824879,-0.326809107174153
"US-Ced",2006,7,"Upland","WUE_ET_minus_WUE_T",0.813131596247967,1.469545674254,-0.578214759924371,-0.480689133812452,-0.0975256261119197
"US-Ced",2006,10,"Upland","WUE_ET_minus_WUE_T",0.621776539400409,0.378685541463857,-1.34283459518916,-1.6167615689469,0.273926973757738
"US-Ced",2007,6,"Upland","WUE_ET_minus_WUE_T",0.750277292930015,1.11123137206926,-0.840208099267671,-0.563524954517901,-0.27668314474977
"US-Ced",2007,7,"Upland","WUE_ET_minus_WUE_T",0.754290792064341,1.13411117608778,-0.729061606289943,-0.709674258089248,-0.019387348200695
"US-Ced",2007,8,"Upland","WUE_ET_minus_WUE_T",0.790749626016849,1.34195250049286,-0.693481299596633,-0.850193184542725,0.156711884946092
"US-Ced",2008,5,"Upland","WUE_ET_minus_WUE_T",0.545645680845991,-0.0553145829136216,-1.58735021076321,-2.20983938625257,0.622489175489355
"US-Ced",2008,6,"Upland","WUE_ET_minus_WUE_T",0.65008427316488,0.54005978848937,-1.0838804887655,-1.05774416034408,-0.0261363284214187
"US-Ced",2008,7,"Upland","WUE_ET_minus_WUE_T",0.735709197230936,1.02818284923113,-0.909684084849345,-0.784111003271465,-0.12557308157788
"US-Ced",2008,8,"Upland","WUE_ET_minus_WUE_T",0.655205093202905,0.569252110441566,-1.3021751142994,-1.46881301356536,0.166637899265957
"US-Ced",2008,10,"Upland","WUE_ET_minus_WUE_T",0.820288394469581,1.51034452214962,-0.555826137007399,-0.641669300270291,0.0858431632628915
"US-Ced",2009,5,"Upland","WUE_ET_minus_WUE_T",0.698616564305052,0.816728419201095,-0.954379095711968,-1.03094723194655,0.0765681362345867
"US-Ced",2009,7,"Upland","WUE_ET_minus_WUE_T",0.843705803333667,1.64384043369707,-0.419659061854602,-0.36153368710984,-0.0581253747447625
"US-Ced",2009,9,"Upland","WUE_ET_minus_WUE_T",0.795449747728448,1.36874654230661,-0.719118228122845,-0.655367145615492,-0.0637510825073531
"US-Ced",2009,10,"Upland","WUE_ET_minus_WUE_T",0.720191780237203,0.939722518779406,-1.0125235144809,-1.03781225961747,0.0252887451365742
"US-Ced",2010,5,"Upland","WUE_ET_minus_WUE_T",0.736102375035927,1.03042424279359,-0.88569326152959,-0.86714277099661,-0.0185504905329795
"US-Ced",2010,10,"Upland","WUE_ET_minus_WUE_T",0.763110888460759,1.18439200840403,-0.828736951617519,-0.863880929845296,0.0351439782277767
"US-Ced",2011,7,"Upland","WUE_ET_minus_WUE_T",0.785148757325337,1.3100235592607,-0.683840709309524,-0.589339151175982,-0.094501558133542
"US-Ced",2011,10,"Upland","WUE_ET_minus_WUE_T",0.727179400071141,0.979556929353722,-0.876371317655824,-1.00819852321105,0.131827205555223
"US-Ced",2012,5,"Upland","WUE_ET_minus_WUE_T",0.718472710672755,0.929922597709941,-1.0132743577984,-0.94102047103937,-0.0722538867590306
"US-Ced",2012,6,"Upland","WUE_ET_minus_WUE_T",0.805481686753119,1.4259357408409,-0.538617334319457,-0.348405007801331,-0.190212326518126
"US-Ced",2012,8,"Upland","WUE_ET_minus_WUE_T",0.854925761791441,1.70780218926697,-0.419121187067167,-0.600311266285842,0.181190079218675
"US-Ced",2012,9,"Upland","WUE_ET_minus_WUE_T",0.786540153264847,1.31795550725488,-0.548770635477372,-0.689929250586564,0.141158615109193
"US-Ced",2013,5,"Upland","WUE_ET_minus_WUE_T",0.688826841834971,0.760920027567111,-0.920028108301667,-1.07903644701906,0.159008338717393
"US-Ced",2013,7,"Upland","WUE_ET_minus_WUE_T",0.814405116562627,1.47680564721969,-0.530486782169306,-0.475734883639299,-0.0547518985300073
"US-Ced",2013,8,"Upland","WUE_ET_minus_WUE_T",0.815287102037235,1.48183359269341,-0.52198523403854,-0.754881525362946,0.232896291324406
"US-Ced",2013,9,"Upland","WUE_ET_minus_WUE_T",0.792524334300476,1.35206960189501,-0.577893331001975,-0.666717437593051,0.0888241065910766
"US-Ced",2013,10,"Upland","WUE_ET_minus_WUE_T",0.790051770067388,1.33797422447425,-0.560503049817656,-0.759155374634093,0.198652324816436
"US-Ced",2014,5,"Upland","WUE_ET_minus_WUE_T",0.68734283802954,0.752460148769432,-0.935880570299719,-1.08658811324671,0.150707542946988
"US-Ced",2014,6,"Upland","WUE_ET_minus_WUE_T",0.757295383033449,1.15123948488472,-0.813150514695524,-0.535819387060266,-0.277331127635258
"US-Ced",2014,7,"Upland","WUE_ET_minus_WUE_T",0.82901937093513,1.56011730737674,-0.512228044201452,-0.418819741393785,-0.0934083028076669
"US-Ced",2014,8,"Upland","WUE_ET_minus_WUE_T",0.777789767380148,1.26807207451261,-0.747322629027111,-0.900472464442287,0.153149835415176
"US-Ced",2014,9,"Upland","WUE_ET_minus_WUE_T",0.769466859850777,1.22062557290319,-0.771209162581031,-0.756236782083464,-0.0149723804975663
