"result_type","model","term","estimate","std_error","statistic","edf","ref_df","p_value","AIC","BIC","deviance_explained","adjusted_r_squared","delta_AIC"
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f4",1.77834637076866,1.08551811873828,1.63824660323097,NA,NA,0.101460619088006,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f4",0.141109634571256,1.08545038774064,0.130000998815778,NA,NA,0.896573146215628,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f5",1.72019202216838,1.08250150993472,1.58908972078211,NA,NA,0.112130932822987,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f5",0.358392367050869,1.08244779922027,0.331094365297831,NA,NA,0.740593132414918,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f6",1.93274454466541,1.07911191533181,1.79105106449605,NA,NA,0.0733719344024056,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f6",-0.0383340301902494,1.07904774084304,-0.035525796254668,NA,NA,0.97166251343718,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f7",1.8326275767378,1.0827785917938,1.69252291338874,NA,NA,0.0906357848377555,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f7",0.216410735138293,1.08272528416554,0.199875941111952,NA,NA,0.841589279593765,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f8",2.24851349134355,1.08113557242707,2.07977014972859,NA,NA,0.037619613825452,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f8",0.211244593693866,1.08107772361685,0.195401856017463,NA,NA,0.845089765739785,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f9",2.19447106199342,1.08932527092319,2.01452322879981,NA,NA,0.0440313784930681,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f9",0.0332109507934219,1.08925417832914,0.0304896244183941,NA,NA,0.975678315580605,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f10",1.89837160321584,1.10585531992842,1.71665458311375,NA,NA,0.0861312460351007,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f10",0.478230239186874,1.10577333261137,0.43248487287851,NA,NA,0.665415829160041,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f11",1.7171362882536,2.70843271297394,0.633996288712718,NA,NA,0.526124892862459,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f11",0.499460219593901,2.70847803070207,0.184406228860728,NA,NA,0.853705523211468,NA,NA,NA,NA,NA
